1000:1200|5ddd20df-73c9-48ec-bead-0fb54ce1756b	+
1000:1785|c70a92bf-44d7-4be9-a1ff-af930ededf24	-
1000:1827|bfbbc39e-8115-4ba2-bbec-136ac2b60556	+
100:1175|760db6eb-b59e-4a11-b8d7-b9e1cd5bedfc	+
100:1564|1179251f-24c1-471c-8ee4-898d10df82a0	-
1003:1593|54ba90e3-232b-4e30-b51c-ff00b293c0c8	+
100:448|141e81e0-bb78-475c-80eb-cb7fd887159e	+
1005:1810|1501cb34-a43b-4515-b713-55432301e88f	-
100:720|b5c2c905-5168-49a3-9d2c-dfe7125ebaf9	-
100:777|2ea8653f-05b1-4e40-a077-9b8fbb3321ee	+
1009:1610|6e25c130-83c3-4ad4-b209-e6108ff9e32b	+
1009:1621|4abe0b7e-6dd0-4b03-a18c-c284a4a5a25a	+
1010:1715|2f7becd4-ae83-472f-861a-7634b78d040b	+
1010:1725|a3ca5504-c4cf-4d44-8130-bb2fdc73e472	-
1011:1650|be13f4ec-7f40-467f-9951-e950c907927e	-
1011:1804|f08890a1-f4c3-49c8-a592-0b2482bab719	-
101:1210|f31c557b-71c8-46ab-a142-e1fe033482b1	+
1013:1622|89510725-e7ee-40cf-ad2c-14a61cea86c4	+
1013:1838|8dd97402-5950-4e06-9afa-96a27b364db5	+
1014:1631|66ad7eb5-37da-44da-9433-a3e5b2ce3750	-
1015:1416|946c4b56-7008-407f-b281-40f31473788f	+
101:686|21b8daa3-76f0-4e04-9727-7f3c1a8e8593	+
1017:1272|02f5b83e-8007-40b1-942d-c4144f658c73	+
1017:1586|a9126565-2b28-41a8-8650-f8a121fde927	+
1018:1598|43733f45-4778-4c0d-8455-c828d7d33ada	+
1018:1813|3f41b6f7-38b5-4e2e-9664-832728b9f3d2	-
1019:1847|6e598f92-a751-436c-b0cf-198ed190478e	+
1020:2054|4f38dd62-cf8f-47db-8c8d-269f3044d0ab	+
1022:1828|63b67f22-1715-4dd4-8fd7-ffd3b7a87c1d	+
1023:1866|0f0d728b-0b9a-4f39-bbe2-e76b9837a38e	+
1023:2565|39f3933b-1cc7-4e98-bc31-9d0a1a867d94	+
102:534|521727ba-c86f-4a23-84ec-5d531ef6fbcc	+
