Assembly;Step;Value
isONclust;Alignment;0
isONclust2;Alignment;0
RATTLE;Alignment;0
RNAbloom;Alignment;0
RNAbloom2;Alignment;0
isONclust;Pre-process;0
isONclust2;Pre-process;0
RATTLE;Pre-process;0
RNAbloom;Pre-process;0
RNAbloom2;Pre-process;0
isONclust;Assembler;6.997666667
isONclust2;Assembler;1.498808333
RATTLE;Assembler;38.52142667
RNAbloom;Assembler;59.27889167
RNAbloom2;Assembler;26.72655
isONclust;Post-process;0
isONclust2;Post-process;0
RATTLE;Post-process;0
RNAbloom;Post-process;0
RNAbloom2;Post-process;0
