NAME	LENGTH	MIX_A	MIX_B
R1_101_1	719	11.3297	0.4721
R1_101_2	430	3.7766	1.4162
R1_102_1	1490	13.2179	7.5531
R1_102_2	1362	1.8883	52.8717
R1_103_1	1754	60.4248	453.186
R1_103_2	1856	906.3721	30.2124
R1_11_1	703	483.3985	483.3985
R1_11_2	785	1450.1954	1450.1954
R1_12_1	1310	0.4131	0.9441
R1_12_2	1582	0.059	6.609
R1_13_1	1940	113.2965	30.2124
R1_13_2	698	7.5531	453.186
R1_14_1	664	483.3984	966.7969
R1_21_1	867	0.0553	0.0295
R1_21_2	794	0.0037	0.4426
R1_22_1	1169	453.186	1.8883
R1_22_2	1041	30.2124	28.3241
R1_23_1	1689	26.4359	26.4359
R1_23_2	1182	3.7766	3.7766
R1_24_1	4577	0.059	0.236
R1_31_1	661	211.4868	211.4868
R1_31_2	1466	30.2124	30.2124
R1_32_1	944	56.6483	0.236
R1_32_2	783	3.7766	3.5406
R1_33_1	2361	60.4248	60.4248
R1_33_2	1022	60.4248	60.4248
R1_41_1	439	90.6372	60.4248
R1_41_2	1001	30.2124	181.2744
R1_42_1	975	0.2361	0.2361
R1_42_2	604	0.2361	0.2361
R1_43_1	2617	0.118	6.609
R1_43_2	2907	0.8261	0.9441
R1_51_1	884	0.0148	0.0443
R1_51_2	890	0.0443	0.0148
R1_52_1	1118	0.059	14.1621
R1_52_2	1504	0.8851	0.9441
R1_53_1	1986	0.236	0.059
R1_61_1	663	1.8883	1.8883
R1_61_2	535	5.6648	5.6648
R1_62_1	955	2.8325	0.236
R1_62_2	627	0.9442	0.7081
R1_63_1	2336	0.2065	0.0295
R1_63_2	1506	0.0295	0.2065
R1_71_1	825	3.7766	3.7766
R1_71_2	476	26.4359	26.4359
R1_72_1	988	0.6231	0.0389
R1_72_2	1227	1.2652	0.0791
R1_73_1	1914	161.9385	159.5215
R1_73_2	2865	79.7607	323.8769
R1_81_1	889	0.3163	0.1558
R1_81_2	1651	0.1558	0.3163
R1_82_1	1400	0.118	0.9442
R1_82_2	982	0.118	0.9442
R1_83_1	1648	0.6325	0.6325
R1_83_2	945	0.3116	0.3116
R1_91_1	605	1.8883	113.2965
R1_91_2	954	28.3241	7.5531
R1_92_1	1637	60.4248	15.1062
R1_92_2	727	60.4248	15.1062
R1_93_1	1725	0.059	0.059
R1_93_2	1177	0.059	0.059
R2_1_1	995	0.9441	0.9441
R2_105_1	375	0.118	0.059
R2_115_1	794	0.059	0.118
R2_115_2	1045	0.059	0.118
R2_116_1	745	1.2463	1.2463
R2_116_2	711	1.2463	1.2463
R2_116_3	639	1.2463	1.2463
R2_117_1	1039	30.2124	30.2124
R2_117_3	913	30.2124	30.2124
R2_14_1	1069	551.0742	551.0742
R2_14_2	596	280.3711	280.3711
R2_14_3	931	135.3516	135.3516
R2_140_1	945	60.4248	30.2124
R2_143_1	825	0.4721	7.5531
R2_150_1	755	483.3985	60.4248
R2_150_2	1846	483.3985	60.4248
R2_151_1	794	0.642	0.642
R2_151_2	1000	0.6231	0.6231
R2_151_3	492	0.6231	0.6231
R2_152_1	2243	0.0295	0.0885
R2_152_2	1854	0.0885	0.0295
R2_153_1	664	0.5381	0.2691
R2_153_2	922	0.2738	0.1369
R2_153_3	1686	0.1322	0.0661
R2_154_1	912	241.6992	241.6992
R2_154_2	820	1691.8946	1691.8946
R2_19_1	1688	4.985	2.5303
R2_19_2	6943	10.1212	1.2463
R2_20_1	1258	0.0295	0.118
R2_20_2	1343	0.4426	1.7703
R2_24_1	3788	14.1621	14.1621
R2_24_2	2985	0.9441	0.9441
R2_26_1	4401	19.9402	5.0606
R2_26_2	1417	40.4846	2.4925
R2_27_1	2254	0.4721	0.059
R2_27_2	1106	7.081	0.8851
R2_28_1	997	20.5444	20.5444
R2_28_2	2547	19.9402	19.9402
R2_28_3	606	19.9402	19.9402
R2_32_1	868	17.2211	8.6105
R2_32_2	1235	8.7616	4.3808
R2_32_3	1148	4.2297	2.1149
R2_33_1	283	0.059	0.118
R2_37_1	1143	0.0802	0.0201
R2_37_2	2187	0.0779	0.0195
R2_37_3	1083	0.0779	0.0195
R2_38_1	829	31.9043	31.9043
R2_38_2	760	64.7754	64.7754
R2_38_3	872	128.584	128.584
R2_38_4	573	258.1347	258.1347
R2_41_1	2182	15.1062	56.6483
R2_41_2	616	226.593	3.7766
R2_42_1	1367	164.3555	164.3555
R2_42_2	655	159.5215	159.5215
R2_42_3	558	159.5215	159.5215
R2_45_1	1379	0.997	0.997
R2_45_2	1862	2.0242	2.0242
R2_45_3	1963	4.0182	4.0182
R2_45_4	1717	8.0667	8.0667
R2_46_1	1921	82.1777	82.1777
R2_46_2	402	79.7607	79.7607
R2_46_3	1003	79.7607	79.7607
R2_47_1	3894	0.1106	0.1106
R2_47_2	1201	0.0074	0.0074
R2_53_1	1916	68.8843	551.0742
R2_53_2	1989	35.0464	280.3711
R2_53_3	1674	16.9189	135.3516
R2_54_1	2993	0.0779	0.1581
R2_54_2	1523	0.1581	0.0779
R2_55_2	661	1.4162	0.118
R2_55_3	782	0.4721	0.3541
R2_57_1	1392	0.9441	0.8261
R2_57_2	1199	6.609	0.118
R2_59_1	2625	4.3053	68.8843
R2_59_2	2484	2.1904	35.0464
R2_59_3	1083	1.0574	16.9189
R2_6_1	546	362.5488	60.4248
R2_6_2	491	120.8496	181.2744
R2_60_1	1188	5.0606	39.8804
R2_60_2	1625	2.4925	80.9692
R2_63_1	1571	0.9442	0.9442
R2_63_3	712	0.9442	0.9442
R2_65_1	908	966.7969	966.7969
R2_67_1	523	3.7766	15.1062
R2_68_1	2461	1.8883	0.118
R2_68_2	2015	1.8883	0.118
R2_7_1	635	241.6992	45.3186
R2_7_2	1728	725.0977	15.1062
R2_71_1	1127	3.5406	3.5406
R2_71_2	369	0.236	0.236
R2_72_1	1639	127.6172	127.6172
R2_72_2	1792	259.1016	259.1016
R2_72_3	1862	514.336	514.336
R2_72_4	1442	1032.5391	1032.5391
R2_73_1	944	0.236	3.3045
R2_73_2	3451	1.6523	0.4721
R2_76_1	908	0.0201	0.0201
R2_76_2	1030	0.0195	0.0195
R2_76_3	822	0.0195	0.0195
