Dataset;Assembly;Method;Tool;Vtype;Value
LSK114_sequins;Bambu;Guided;Bambu;Precision;0.826755358462675
LSK114_sequins;Bambu-noRef;De novo;Bambu;Precision;0.694078398665555
LSK114_sequins;Control;RawReads;RawReads;Precision;0.00417128908782096
LSK114_sequins;FLAIR;Guided;FLAIR;Precision;0.635458612975391
LSK114_sequins;FLAIR-noRef;De novo;FLAIR;Precision;0.0740520948242869
LSK114_sequins;FLAMES;Guided;FLAMES;Precision;0.992857142857143
LSK114_sequins;isONclust2;Ab initio;isONclust2;Precision;0.706578947368421
LSK114_sequins;isONclust;Ab initio;isONclust;Precision;0.544252873563218
LSK114_sequins;isoQuant;Guided;isoQuant;Precision;0.932773109243697
LSK114_sequins;isoQuant-noRef;De novo;isoQuant;Precision;0.828631138975967
LSK114_sequins;Mandalorion;Guided;Mandalorion;Precision;0.875279106858054
LSK114_sequins;RATTLE;Ab initio;RATTLE;Precision;0.559027777777778
LSK114_sequins;RNAbloom2;Ab initio;RNAbloom2;Precision;0.353371991181178
LSK114_sequins;RNAbloom;Ab initio;RNAbloom;Precision;0.408542713567839
LSK114_sequins;Stringtie2;Guided;Stringtie2;Precision;0.90495867768595
LSK114_sequins;Stringtie2-noRef;De novo;Stringtie2;Precision;0.7151875
LSK114_sequins;TALON;Guided;TALON;Precision;0.267366121119677
LSK114_sequins;TALON_reco;Guided;TALON;Precision;0.493890483022477
LSK109_sequins;Bambu;Guided;Bambu;Precision;0.82175976633808
LSK109_sequins;Bambu-noRef;De novo;Bambu;Precision;0.710916442048517
LSK109_sequins;Control;RawReads;RawReads;Precision;0.00269073457131763
LSK109_sequins;FLAIR;Guided;FLAIR;Precision;0.664414414414414
LSK109_sequins;FLAIR-noRef;De novo;FLAIR;Precision;0.0502911296578409
LSK109_sequins;FLAMES;Guided;FLAMES;Precision;0.992857142857143
LSK109_sequins;isONclust2;Ab initio;isONclust2;Precision;0.661624649859944
LSK109_sequins;isONclust;Ab initio;isONclust;Precision;0.537473290598291
LSK109_sequins;isoQuant;Guided;isoQuant;Precision;0.941648498062015
LSK109_sequins;isoQuant-noRef;De novo;isoQuant;Precision;0.836184882533197
LSK109_sequins;Mandalorion;Guided;Mandalorion;Precision;0.83695652173913
LSK109_sequins;RATTLE;Ab initio;RATTLE;Precision;0.579357468233038
LSK109_sequins;RNAbloom2;Ab initio;RNAbloom2;Precision;0.335457789673246
LSK109_sequins;RNAbloom;Ab initio;RNAbloom;Precision;0.330974161789872
LSK109_sequins;Stringtie2;Guided;Stringtie2;Precision;0.872093023255814
LSK109_sequins;Stringtie2-noRef;De novo;Stringtie2;Precision;0.635176390773406
LSK109_sequins;TALON;Guided;TALON;Precision;0.172534968648798
LSK109_sequins;TALON_reco;Guided;TALON;Precision;0.369263907098708
RNA002_sequins;Bambu;Guided;Bambu;Precision;0.836931000530182
RNA002_sequins;Bambu-noRef;De novo;Bambu;Precision;0.668367346938775
RNA002_sequins;Control;RawReads;RawReads;Precision;0.00328975096597498
RNA002_sequins;FLAIR;Guided;FLAIR;Precision;0.769276288537783
RNA002_sequins;FLAIR-noRef;De novo;FLAIR;Precision;0.0560693361269546
RNA002_sequins;FLAMES;Guided;FLAMES;Precision;0.991379310344828
RNA002_sequins;isONclust2;Ab initio;isONclust2;Precision;0.644653590635875
RNA002_sequins;isONclust;Ab initio;isONclust;Precision;0.395255474452555
RNA002_sequins;isoQuant;Guided;isoQuant;Precision;0.974789915966387
RNA002_sequins;isoQuant-noRef;De novo;isoQuant;Precision;0.855379746835443
RNA002_sequins;Mandalorion;Guided;Mandalorion;Precision;0.56706976744186
RNA002_sequins;RATTLE;Ab initio;RATTLE;Precision;0.565961636178862
RNA002_sequins;RNAbloom2;Ab initio;RNAbloom2;Precision;0.164222155191916
RNA002_sequins;RNAbloom;Ab initio;RNAbloom;Precision;0.174418604651163
RNA002_sequins;Stringtie2;Guided;Stringtie2;Precision;0.815789473684211
RNA002_sequins;Stringtie2-noRef;De novo;Stringtie2;Precision;0.470380434782609
RNA002_sequins;TALON;Guided;TALON;Precision;0.222725504497933
RNA002_sequins;TALON_reco;Guided;TALON;Precision;0.429248141564318
RNA004_sequins;Bambu;Guided;Bambu;Precision;0.82175976633808
RNA004_sequins;Bambu-noRef;De novo;Bambu;Precision;0.712434310145186
RNA004_sequins;Control;RawReads;RawReads;Precision;0.00239019029357254
RNA004_sequins;FLAIR;Guided;FLAIR;Precision;0.76265746124031
RNA004_sequins;FLAIR-noRef;De novo;FLAIR;Precision;0.0578774379622491
RNA004_sequins;FLAMES;Guided;FLAMES;Precision;0.9921875
RNA004_sequins;isONclust2;Ab initio;isONclust2;Precision;0.632182720132286
RNA004_sequins;isONclust;Ab initio;isONclust;Precision;0.395859777495707
RNA004_sequins;isoQuant;Guided;isoQuant;Precision;0.971444755431161
RNA004_sequins;isoQuant-noRef;De novo;isoQuant;Precision;0.899439775910364
RNA004_sequins;Mandalorion;Guided;Mandalorion;Precision;0.812284246863686
RNA004_sequins;RATTLE;Ab initio;RATTLE;Precision;0.516210780370072
RNA004_sequins;RNAbloom2;Ab initio;RNAbloom2;Precision;0.34109020475927
RNA004_sequins;RNAbloom;Ab initio;RNAbloom;Precision;0.386560841159657
RNA004_sequins;Stringtie2;Guided;Stringtie2;Precision;0.793591691995947
RNA004_sequins;Stringtie2-noRef;De novo;Stringtie2;Precision;0.588028169014085
RNA004_sequins;TALON;Guided;TALON;Precision;0.207378072540179
RNA004_sequins;TALON_reco;Guided;TALON;Precision;0.424892703862661
LSK114_sequins;Bambu;Guided;Bambu;Sensitivity;1
LSK114_sequins;Bambu-noRef;De novo;Bambu;Sensitivity;0.588354854136777
LSK114_sequins;Control;RawReads;RawReads;Sensitivity;0.796641791044776
LSK114_sequins;FLAIR;Guided;FLAIR;Sensitivity;0.703742317822651
LSK114_sequins;FLAIR-noRef;De novo;FLAIR;Sensitivity;0.637288023317435
LSK114_sequins;FLAMES;Guided;FLAMES;Sensitivity;0.507352941176471
LSK114_sequins;isONclust2;Ab initio;isONclust2;Sensitivity;0.474576271186441
LSK114_sequins;isONclust;Ab initio;isONclust;Sensitivity;0.59698275862069
LSK114_sequins;isoQuant;Guided;isoQuant;Sensitivity;0.816176470588235
LSK114_sequins;isoQuant-noRef;De novo;isoQuant;Sensitivity;0.561065279770445
LSK114_sequins;Mandalorion;Guided;Mandalorion;Sensitivity;0.720588235294118
LSK114_sequins;RATTLE;Ab initio;RATTLE;Sensitivity;0.50383631713555
LSK114_sequins;RNAbloom2;Ab initio;RNAbloom2;Sensitivity;0.711274509803922
LSK114_sequins;RNAbloom;Ab initio;RNAbloom;Sensitivity;0.718052738336714
LSK114_sequins;Stringtie2;Guided;Stringtie2;Sensitivity;0.808142701525054
LSK114_sequins;Stringtie2-noRef;De novo;Stringtie2;Sensitivity;0.698885199240987
LSK114_sequins;TALON;Guided;TALON;Sensitivity;0.761363636363636
LSK114_sequins;TALON_reco;Guided;TALON;Sensitivity;0.751022777532065
LSK109_sequins;Bambu;Guided;Bambu;Sensitivity;1
LSK109_sequins;Bambu-noRef;De novo;Bambu;Sensitivity;0.575735294117647
LSK109_sequins;Control;RawReads;RawReads;Sensitivity;0.843382352941176
LSK109_sequins;FLAIR;Guided;FLAIR;Sensitivity;0.728715170278638
