Assembly;Step;Value
Bambu;Alignment;21.0884733333333
FLAIR;Alignment;0
FLAMES;Alignment;0
isoQuant;Alignment;0
Mandalorion;Alignment;0
Stringtie2;Alignment;21.0884733333333
TALON;Alignment;20.852
TALON_reco;Alignment;12.2228866666667
Bambu;Pre-process;0.00616666666666667
FLAIR;Pre-process;0
FLAMES;Pre-process;0
isoQuant;Pre-process;0
Mandalorion;Pre-process;0
Stringtie2;Pre-process;0.202448333333333
TALON;Pre-process;0.336206666666667
TALON_reco;Pre-process;13.5897833333333
Bambu;Assembler;0.2175
FLAIR;Assembler;38.3007883333333
FLAMES;Assembler;21.4154733333333
isoQuant;Assembler;23.3841033333333
Mandalorion;Assembler;16.9734533333333
Stringtie2;Assembler;0.0201966666666667
TALON;Assembler;2.49685333333333
TALON_reco;Assembler;2.09048
Bambu;Post-process;0.0721666666666667
FLAIR;Post-process;0
FLAMES;Post-process;0
isoQuant;Post-process;0
Mandalorion;Post-process;0
Stringtie2;Post-process;0
TALON;Post-process;0.0147966666666667
TALON_reco;Post-process;0.015455
