Subset,Assembly,TP,FP,FN,Method,Tool
ALL,Bambu,160,9,0,Guided,Bambu
ALL,Bambu-noRef,87,50,73,De novo,Bambu
ALL,isONclust2,121,55,39,Ab initio,isONclust2
ALL,isONclust,126,403,34,Ab initio,isONclust
ALL,isoQuant,136,6,24,Guided,isoQuant
ALL,isoQuant-noRef,85,59,75,De novo,isoQuant
ALL,Stringtie2,152,22,8,Guided,Stringtie2
ALL,Stringtie2-noRef,117,100,43,De novo,Stringtie2
Sub100k,Bambu,160,4,0,Guided,Bambu
Sub100k,Bambu-noRef,79,26,81,De novo,Bambu
Sub100k,isONclust2,70,21,90,Ab initio,isONclust2
Sub100k,isONclust,84,79,76,Ab initio,isONclust
Sub100k,isoQuant,115,4,45,Guided,isoQuant
Sub100k,isoQuant-noRef,70,13,90,De novo,isoQuant
Sub100k,Stringtie2,111,11,49,Guided,Stringtie2
Sub100k,Stringtie2-noRef,86,32,74,De novo,Stringtie2
Sub10k,Bambu,160,1,0,Guided,Bambu
Sub10k,Bambu-noRef,51,7,109,De novo,Bambu
Sub10k,isONclust2,61,11,99,Ab initio,isONclust2
Sub10k,isONclust,64,17,96,Ab initio,isONclust
Sub10k,isoQuant,83,1,77,Guided,isoQuant
Sub10k,isoQuant-noRef,48,3,112,De novo,isoQuant
Sub10k,Stringtie2,80,9,80,Guided,Stringtie2
Sub10k,Stringtie2-noRef,58,19,102,De novo,Stringtie2
Sub150k,Bambu,160,5,0,Guided,Bambu
Sub150k,Bambu-noRef,77,32,83,De novo,Bambu
Sub150k,isONclust2,70,25,90,Ab initio,isONclust2
Sub150k,isONclust,88,86,72,Ab initio,isONclust
Sub150k,isoQuant,117,2,43,Guided,isoQuant
Sub150k,isoQuant-noRef,73,14,87,De novo,isoQuant
Sub150k,Stringtie2,114,7,46,Guided,Stringtie2
Sub150k,Stringtie2-noRef,88,37,72,De novo,Stringtie2
Sub1k,Bambu,160,1,0,Guided,Bambu
Sub1k,Bambu-noRef,36,5,124,De novo,Bambu
Sub1k,isONclust2,43,6,117,Ab initio,isONclust2
Sub1k,isONclust,43,7,117,Ab initio,isONclust
Sub1k,isoQuant,52,1,108,Guided,isoQuant
Sub1k,isoQuant-noRef,25,3,135,De novo,isoQuant
Sub1k,Stringtie2,49,5,111,Guided,Stringtie2
Sub1k,Stringtie2-noRef,34,10,126,De novo,Stringtie2
Sub1M,Bambu,160,10,0,Guided,Bambu
Sub1M,Bambu-noRef,83,55,77,De novo,Bambu
Sub1M,isONclust2,96,29,64,Ab initio,isONclust2
Sub1M,isONclust,110,207,50,Ab initio,isONclust
Sub1M,isoQuant,137,9,23,Guided,isoQuant
Sub1M,isoQuant-noRef,89,34,71,De novo,isoQuant
Sub1M,Stringtie2,132,21,28,Guided,Stringtie2
Sub1M,Stringtie2-noRef,102,77,58,De novo,Stringtie2
Sub250k,Bambu,160,8,0,Guided,Bambu
Sub250k,Bambu-noRef,78,37,82,De novo,Bambu
Sub250k,isONclust2,80,28,80,Ab initio,isONclust2
Sub250k,isONclust,95,109,65,Ab initio,isONclust
Sub250k,isoQuant,124,3,36,Guided,isoQuant
Sub250k,isoQuant-noRef,74,17,86,De novo,isoQuant
Sub250k,Stringtie2,120,11,40,Guided,Stringtie2
Sub250k,Stringtie2-noRef,89,45,71,De novo,Stringtie2
Sub2M,Bambu,160,9,0,Guided,Bambu
Sub2M,Bambu-noRef,89,47,71,De novo,Bambu
Sub2M,isONclust2,106,38,54,Ab initio,isONclust2
Sub2M,isONclust,124,294,36,Ab initio,isONclust
Sub2M,isoQuant,140,12,20,Guided,isoQuant
Sub2M,isoQuant-noRef,89,33,71,De novo,isoQuant
Sub2M,Stringtie2,143,18,17,Guided,Stringtie2
Sub2M,Stringtie2-noRef,112,85,48,De novo,Stringtie2
Sub4M,Bambu,160,8,0,Guided,Bambu
Sub4M,Bambu-noRef,86,56,74,De novo,Bambu
Sub4M,isONclust2,119,68,41,Ab initio,isONclust2
Sub4M,isONclust,126,415,34,Ab initio,isONclust
Sub4M,isoQuant,154,20,6,Guided,isoQuant
Sub4M,isoQuant-noRef,85,55,75,De novo,isoQuant
Sub4M,Stringtie2,149,23,11,Guided,Stringtie2
Sub4M,Stringtie2-noRef,116,97,44,De novo,Stringtie2
Sub500k,Bambu,160,6,0,Guided,Bambu
Sub500k,Bambu-noRef,81,38,79,De novo,Bambu
Sub500k,isONclust2,100,23,60,Ab initio,isONclust2
Sub500k,isONclust,100,23,60,Ab initio,isONclust
Sub500k,isoQuant,131,9,29,Guided,isoQuant
Sub500k,isoQuant-noRef,76,25,84,De novo,isoQuant
Sub500k,Stringtie2,126,16,34,Guided,Stringtie2
Sub500k,Stringtie2-noRef,97,60,63,De novo,Stringtie2
Sub50k,Bambu,160,1,0,Guided,Bambu
Sub50k,Bambu-noRef,72,14,88,De novo,Bambu
Sub50k,isONclust2,62,24,98,Ab initio,isONclust2
Sub50k,isONclust,75,59,85,Ab initio,isONclust
Sub50k,isoQuant,105,4,55,Guided,isoQuant
Sub50k,isoQuant-noRef,59,12,101,De novo,isoQuant
Sub50k,Stringtie2,103,10,57,Guided,Stringtie2
Sub50k,Stringtie2-noRef,76,33,84,De novo,Stringtie2
