Sequin	MixA	Type	Transcript	Classcode1	Classcode2	TPM	nbReads
R1_101_2	3.7766	TP	80a19640-3677-4285-b0cb-85766fe99ffd	full-splice_match	alternative_5end	8.712341	22.000
R1_102_1	13.2179	TP	4514a87c-5d13-4b51-abe4-320cbbb4505e	full-splice_match	reference_match	12.877922	153.000
R1_103_1	60.4248	TP	ac177d54-f57e-4e0f-9c02-578aa3360082	full-splice_match	alternative_3end	225.214730	3434.000
R1_103_2	906.3721	TP	3116d5ce-c2cc-47dc-8720-829e826eee29	full-splice_match	alternative_3end	249.602717	3277.000
R1_103_2	906.3721	TP	3dc28845-99d6-4397-945e-45fdf1cb741a	full-splice_match	reference_match	318.422831	5000.000
R1_103_2	906.3721	TP	9162c626-3fd1-4b22-805a-d95896131050	full-splice_match	reference_match	318.295462	4998.000
R1_103_2	906.3721	TP	e2d613bf-dcb3-485c-b82b-e5929a2e8f48	full-splice_match	reference_match	320.243572	5010.000
R1_103_2	906.3721	TP	ef57db25-b957-41f2-8f5d-0418ee78c473	full-splice_match	reference_match	318.275265	5010.000
R1_11_1	483.3985	TP	9fefefb3-ed6c-496a-b783-1184fbbf2fc1	full-splice_match	reference_match	1445.860805	6127.000
R1_11_1	483.3985	TP	f801b424-99c2-4707-91aa-9bba50601c0a	full-splice_match	reference_match	1449.866046	6158.000
R1_11_2	1450.1954	TP	10fd7441-c112-4e23-b577-fc873e872ed9	full-splice_match	reference_match	2416.628470	12345.000
R1_11_2	1450.1954	TP	1c5ee04d-4ba4-4a9f-9488-23dfff38d3ef	full-splice_match	alternative_3end	249.412292	333.000
R1_11_2	1450.1954	TP	32d1dfff-63b8-426c-9d9e-2abab6c00ee5	full-splice_match	reference_match	2421.410232	12346.000
R1_11_2	1450.1954	TP	6e003112-9662-469b-8f76-0c1f55f2da30	full-splice_match	reference_match	2292.106559	12352.000
R1_11_2	1450.1954	TP	80f5c9f6-ed6f-4e48-95f2-252e8cbf1f95	full-splice_match	reference_match	2398.846903	12347.000
R1_11_2	1450.1954	TP	95e9ebf9-816a-448a-ae71-fbb53459f525	full-splice_match	reference_match	2389.668900	12346.000
R1_11_2	1450.1954	TP	b511b172-50e2-4ead-b585-418853a609ca	full-splice_match	reference_match	2296.229053	12352.000
R1_11_2	1450.1954	TP	e28abef1-d17f-4f84-a90e-e7c3bd8c11bb	full-splice_match	reference_match	2416.628470	12345.000
R1_13_1	113.2965	TP	3d60d061-3146-4b95-b6f5-937ca9d24bbc	full-splice_match	reference_match	26.393727	429.000
R1_22_1	453.186	TP	22037f8b-90d2-4984-8f56-9738d4ee270d	incomplete-splice_match	5prime_fragment	1849.485142	2523.000
R1_22_1	453.186	TP	6d03c035-eda9-4177-bd0b-8a86b8f7a4ae	full-splice_match	reference_match	466.537616	4279.000
R1_22_1	453.186	TP	d18a0715-b992-4f17-acea-e47d92540703	incomplete-splice_match	5prime_fragment	974.371715	3356.000
R1_22_1	453.186	TP	e25adfc8-689a-44e6-848d-9719cf003d10	full-splice_match	reference_match	487.626968	4279.000
R1_22_1	453.186	TP	f42a8c27-ba9b-4f16-bf2c-230748877743	incomplete-splice_match	5prime_fragment	1789.944653	2563.000
R1_22_2	30.2124	TP	5dcf4631-0f4b-4ee9-b295-d7ec6db689c2	full-splice_match	reference_match	468.105600	3528.000
R1_23_1	26.4359	TP	92a67e88-5a1b-47b4-8920-35faad3822d2	full-splice_match	reference_match	9.402944	130.000
R1_23_1	26.4359	TP	92a67e88-5a1b-47b4-8920-35faad3822d2-1	full-splice_match	alternative_3end	7.851389	79.000
R1_23_2	3.7766	TP	9844948f-0c5f-414e-99cc-64520b7d92fa	full-splice_match	reference_match	5.386843	48.000
R1_31_1	211.4868	TP	0ae95727-1746-4510-b9b1-19e1541a7ccc	full-splice_match	reference_match	201.252694	773.000
R1_31_1	211.4868	TP	4ab03805-8291-4f82-8cb9-2e0646a7bbfc	full-splice_match	reference_match	200.001699	774.000
R1_31_2	30.2124	TP	0d13467c-2783-475e-9d0c-e462cf3207ed	full-splice_match	reference_match	30.682337	358.000
R1_32_2	3.7766	TP	d0a24d4e-ddf6-48f4-85af-c4c699584f60	full-splice_match	reference_match	21.384838	108.000
R1_33_2	60.4248	TP	a6609ce2-600e-490a-8260-79b9fe7f6ffd	full-splice_match	reference_match	38.624019	284.000
R1_41_1	90.6372	TP	e742e9b9-23f5-45a6-88e8-d5e7437bdb19	full-splice_match	reference_match	131.232423	226.000
R1_61_1	1.8883	TP	0ff2ee21-c236-4e38-9a8b-d4b70372d20e	full-splice_match	reference_match	2.842401	11.000
R1_61_2	5.6648	TP	351f5a61-13fe-4ced-8d50-6bf4e8a77b95	full-splice_match	reference_match	6.840003	18.000
R1_71_1	3.7766	TP	05a4fdc3-75af-437a-ae64-033cd507748b	full-splice_match	reference_match	2.729579	15.000
R1_71_2	26.4359	TP	1c82fa9d-d4a5-4d69-bd6e-ff6c06008fc9	full-splice_match	reference_match	14.576417	33.000
