Assembly,TP,FP,FN,Method,Tool
Bambu,160,4,0,Guided,Bambu
Bambu-noRef,77,28,83,De novo,Bambu
FLAIR,98,30,62,Guided,FLAIR
FLAIR-noRef,82,1177,78,De novo,FLAIR
FLAMES,63,1,97,Guided,FLAMES
isONclust,102,138,58,Ab initio,isONclust
isoQuant,121,1,39,Guided,isoQuant
isoQuant-noRef,74,14,86,De novo,isoQuant
RATTLE,68,45,92,Ab initio,RATTLE
RNAbloom2,96,175,64,Ab initio,RNAbloom2
RNAbloom,108,149,52,Ab initio,RNAbloom
Stringtie2,112,25,48,Guided,Stringtie2
Stringtie2-noRef,81,61,79,De novo,Stringtie2
TALON,104,400,56,Guided,TALON
TALON_reco,99,135,61,Guided,TALON
