Subset;Assembly;TP;FP;FN;Method;Tool
Sub100k;Bambu;130;34;0;Guided;Bambu
Sub100k;Bambu-noRef;78;27;52;De novo;Bambu
Sub100k;Control;99;38214;31;RawReads;RawReads
Sub100k;isONclust;79;84;51;Ab initio;isONclust
Sub100k;isONclust2;67;24;63;Ab initio;isONclust2
Sub100k;isoQuant;109;10;21;Guided;isoQuant
Sub100k;isoQuant-noRef;70;13;60;De novo;isoQuant
Sub100k;Stringtie2;105;17;25;Guided;Stringtie2
Sub100k;Stringtie2-noRef;85;33;45;De novo;Stringtie2
Sub10k;Bambu;93;68;0;Guided;Bambu
Sub10k;Bambu-noRef;50;8;43;De novo;Bambu
Sub10k;Control;76;3913;17;RawReads;RawReads
Sub10k;isONclust;57;24;36;Ab initio;isONclust
Sub10k;isONclust2;54;18;39;Ab initio;isONclust2
Sub10k;isoQuant;78;6;15;Guided;isoQuant
Sub10k;isoQuant-noRef;48;3;45;De novo;isoQuant
Sub10k;Stringtie2;74;15;19;Guided;Stringtie2
Sub10k;Stringtie2-noRef;56;21;37;De novo;Stringtie2
Sub150k;Bambu;136;29;0;Guided;Bambu
Sub150k;Bambu-noRef;76;33;60;De novo;Bambu
Sub150k;Control;102;57583;34;RawReads;RawReads
Sub150k;isONclust;85;89;51;Ab initio;isONclust
Sub150k;isONclust2;68;27;68;Ab initio;isONclust2
Sub150k;isoQuant;111;8;25;Guided;isoQuant
Sub150k;isoQuant-noRef;73;14;63;De novo;isoQuant
Sub150k;Stringtie2;109;12;27;Guided;Stringtie2
Sub150k;Stringtie2-noRef;87;38;49;De novo;Stringtie2
Sub1k;Bambu;61;100;0;Guided;Bambu
Sub1k;Bambu-noRef;35;6;26;De novo;Bambu
Sub1k;Control;44;399;17;RawReads;RawReads
Sub1k;isONclust;35;15;26;Ab initio;isONclust
Sub1k;isONclust2;35;14;26;Ab initio;isONclust2
Sub1k;isoQuant;47;6;14;Guided;isoQuant
Sub1k;isoQuant-noRef;25;3;36;De novo;isoQuant
Sub1k;Stringtie2;46;8;15;Guided;Stringtie2
Sub1k;Stringtie2-noRef;32;12;29;De novo;Stringtie2
Sub1M;Bambu;157;13;0;Guided;Bambu
Sub1M;Bambu-noRef;83;55;74;De novo;Bambu
Sub1M;Control;129;384304;28;RawReads;RawReads
Sub1M;isONclust;110;207;47;Ab initio;isONclust
Sub1M;isONclust2;96;29;61;Ab initio;isONclust2
Sub1M;isoQuant;137;9;20;Guided;isoQuant
Sub1M;isoQuant-noRef;89;34;68;De novo;isoQuant
Sub1M;Stringtie2;132;21;25;Guided;Stringtie2
Sub1M;Stringtie2-noRef;102;77;55;De novo;Stringtie2
Sub250k;Bambu;141;27;0;Guided;Bambu
Sub250k;Bambu-noRef;78;37;63;De novo;Bambu
Sub250k;Control;114;95997;27;RawReads;RawReads
Sub250k;isONclust;92;112;49;Ab initio;isONclust
Sub250k;isONclust2;77;31;64;Ab initio;isONclust2
Sub250k;isoQuant;121;6;20;Guided;isoQuant
Sub250k;isoQuant-noRef;74;17;67;De novo;isoQuant
Sub250k;Stringtie2;117;14;24;Guided;Stringtie2
Sub250k;Stringtie2-noRef;89;45;52;De novo;Stringtie2
Sub2M;Bambu;158;11;0;Guided;Bambu
Sub2M;Bambu-noRef;89;47;69;De novo;Bambu
Sub2M;Control;137;769642;21;RawReads;RawReads
Sub2M;isONclust;123;295;35;Ab initio;isONclust
Sub2M;isONclust2;105;40;53;Ab initio;isONclust2
Sub2M;isoQuant;140;12;18;Guided;isoQuant
Sub2M;isoQuant-noRef;89;33;69;De novo;isoQuant
Sub2M;Stringtie2;142;19;16;Guided;Stringtie2
Sub2M;Stringtie2-noRef;111;86;47;De novo;Stringtie2
Sub4.262M;Bambu;160;9;0;Guided;Bambu
Sub4.262M;Bambu-noRef;87;50;73;De novo;Bambu
Sub4.262M;Control;144;1640912;16;RawReads;RawReads
Sub4.262M;isONclust;126;403;34;Ab initio;isONclust
Sub4.262M;isONclust2;121;55;39;Ab initio;isONclust2
Sub4.262M;isoQuant;136;6;24;Guided;isoQuant
Sub4.262M;isoQuant-noRef;85;59;75;De novo;isoQuant
Sub4.262M;Stringtie2;152;22;8;Guided;Stringtie2
Sub4.262M;Stringtie2-noRef;117;100;43;De novo;Stringtie2
Sub4M;Bambu;159;9;0;Guided;Bambu
Sub4M;Bambu-noRef;86;56;73;De novo;Bambu
Sub4M;Control;141;1539581;18;RawReads;RawReads
Sub4M;isONclust;126;415;33;Ab initio;isONclust
Sub4M;isONclust2;118;69;41;Ab initio;isONclust2
Sub4M;isoQuant;153;21;6;Guided;isoQuant
Sub4M;isoQuant-noRef;85;55;74;De novo;isoQuant
Sub4M;Stringtie2;148;24;11;Guided;Stringtie2
Sub4M;Stringtie2-noRef;116;97;43;De novo;Stringtie2
Sub500k;Bambu;151;15;0;Guided;Bambu
Sub500k;Bambu-noRef;81;38;70;De novo;Bambu
Sub500k;Control;120;192773;31;RawReads;RawReads
Sub500k;isONclust;98;25;53;Ab initio;isONclust
Sub500k;isONclust2;98;25;53;Ab initio;isONclust2
Sub500k;isoQuant;129;11;22;Guided;isoQuant
Sub500k;isoQuant-noRef;76;25;75;De novo;isoQuant
