Assembly;TP;FP;FN;Precision;Sensitivity;F1;Method;Tool;Dataset;Evaluator
Bambu;136;28;0;0.829268292682927;1;0.906666666666667;Guided;Bambu;LSK114_sequins;GFFcompare
Bambu-noRef;76;34;47;0.690909090909091;0.617886178861789;0.652360515021459;De novo;Bambu;LSK114_sequins;GFFcompare
Control;113;17075;21;0.00657435420060507;0.843283582089552;0.0130469922641727;RawReads;RawReads;LSK114_sequins;GFFcompare
FLAIR;95;54;39;0.63758389261745;0.708955223880597;0.671378091872792;Guided;FLAIR;LSK114_sequins;GFFcompare
FLAIR-noRef;77;998;34;0.0716279069767442;0.693693693693694;0.129848229342327;De novo;FLAIR;LSK114_sequins;GFFcompare
FLAMES;69;0;67;1;0.507352941176471;0.673170731707317;Guided;FLAMES;LSK114_sequins;GFFcompare
isONclust2;53;23;65;0.697368421052632;0.449152542372881;0.54639175257732;Ab initio;isONclust2;LSK114_sequins;GFFcompare
isONclust;66;44;50;0.6;0.568965517241379;0.584070796460177;Ab initio;isONclust;LSK114_sequins;GFFcompare
isoQuant;111;8;25;0.932773109243697;0.816176470588235;0.870588235294118;Guided;isoQuant;LSK114_sequins;GFFcompare
isoQuant-noRef;72;16;51;0.818181818181818;0.585365853658537;0.682464454976303;De novo;isoQuant;LSK114_sequins;GFFcompare
Mandalorion;98;12;38;0.890909090909091;0.720588235294118;0.796747967479675;Guided;Mandalorion;LSK114_sequins;GFFcompare
RATTLE;55;44;60;0.555555555555556;0.478260869565217;0.514018691588785;Ab initio;RATTLE;LSK114_sequins;GFFcompare
RNAbloom2;86;148;34;0.367521367521368;0.716666666666667;0.485875706214689;Ab initio;RNAbloom2;LSK114_sequins;GFFcompare
RNAbloom;83;116;33;0.417085427135678;0.71551724137931;0.526984126984127;Ab initio;RNAbloom;LSK114_sequins;GFFcompare
Stringtie2;110;11;25;0.909090909090909;0.814814814814815;0.859375;Guided;Stringtie2;LSK114_sequins;GFFcompare
Stringtie2-noRef;94;34;30;0.734375;0.758064516129032;0.746031746031746;De novo;Stringtie2;LSK114_sequins;GFFcompare
TALON;102;279;30;0.267716535433071;0.772727272727273;0.39766081871345;Guided;TALON;LSK114_sequins;GFFcompare
TALON_reco;101;104;32;0.492682926829268;0.759398496240602;0.597633136094675;Guided;TALON;LSK114_sequins;GFFcompare
Bambu;136;29;0;0.824242424242424;1;0.903654485049834;Guided;Bambu;LSK109_sequins;GFFcompare
Bambu-noRef;75;31;50;0.707547169811321;0.6;0.649350649350649;De novo;Bambu;LSK109_sequins;GFFcompare
Control;117;32846;13;0.00354943421411886;0.9;0.00707098177862388;RawReads;RawReads;LSK109_sequins;GFFcompare
FLAIR;98;49;35;0.666666666666667;0.736842105263158;0.7;Guided;FLAIR;LSK109_sequins;GFFcompare
FLAIR-noRef;78;1566;29;0.0474452554744526;0.728971962616822;0.0890919474585951;De novo;FLAIR;LSK109_sequins;GFFcompare
FLAMES;69;0;67;1;0.507352941176471;0.673170731707317;Guided;FLAMES;LSK109_sequins;GFFcompare
isONclust2;55;30;58;0.647058823529412;0.486725663716814;0.555555555555556;Ab initio;isONclust2;LSK109_sequins;GFFcompare
isONclust;68;49;47;0.581196581196581;0.591304347826087;0.586206896551724;Ab initio;isONclust;LSK109_sequins;GFFcompare
isoQuant;121;7;15;0.9453125;0.889705882352941;0.916666666666667;Guided;isoQuant;LSK109_sequins;GFFcompare
isoQuant-noRef;74;14;51;0.840909090909091;0.592;0.694835680751174;De novo;isoQuant;LSK109_sequins;GFFcompare
Mandalorion;78;14;55;0.847826086956522;0.586466165413534;0.693333333333333;Guided;Mandalorion;LSK109_sequins;GFFcompare
