Subset;Assembly;TP;FP;FN;Method;Tool
Sub100k;Bambu;130;33;0;Guided;Bambu
Sub100k;Bambu-noRef;77;28;46;De novo;Bambu
Sub100k;Control;110;11383;18;RawReads;RawReads
Sub100k;isONclust;60;41;54;Ab initio;isONclust
Sub100k;isONclust2;48;23;68;Ab initio;isONclust2
Sub100k;isoQuant;109;9;21;Guided;isoQuant
Sub100k;isoQuant-noRef;70;13;53;De novo;isoQuant
Sub100k;Stringtie2;106;15;23;Guided;Stringtie2
Sub100k;Stringtie2-noRef;92;27;31;De novo;Stringtie2
Sub10k;Bambu;93;67;0;Guided;Bambu
Sub10k;Bambu-noRef;50;8;40;De novo;Bambu
Sub10k;Control;83;1179;9;RawReads;RawReads
Sub10k;isONclust;48;14;40;Ab initio;isONclust
Sub10k;isONclust2;46;14;41;Ab initio;isONclust2
Sub10k;isoQuant;78;5;15;Guided;isoQuant
Sub10k;isoQuant-noRef;48;2;43;De novo;isoQuant
Sub10k;Stringtie2;72;15;18;Guided;Stringtie2
Sub10k;Stringtie2-noRef;59;17;26;De novo;Stringtie2
Sub150k;Bambu;136;28;0;Guided;Bambu
Sub150k;Bambu-noRef;74;34;52;De novo;Bambu
Sub150k;Control;113;17075;21;RawReads;RawReads
Sub150k;isONclust;66;44;56;Ab initio;isONclust
Sub150k;isONclust2;53;23;68;Ab initio;isONclust2
Sub150k;isoQuant;111;8;25;Guided;isoQuant
Sub150k;isoQuant-noRef;72;16;56;De novo;isoQuant
Sub150k;Stringtie2;110;11;25;Guided;Stringtie2
Sub150k;Stringtie2-noRef;94;34;36;De novo;Stringtie2
Sub1k;Bambu;61;99;0;Guided;Bambu
Sub1k;Bambu-noRef;34;7;26;De novo;Bambu
Sub1k;Control;53;136;8;RawReads;RawReads
Sub1k;isONclust;34;12;25;Ab initio;isONclust
Sub1k;isONclust2;33;11;26;Ab initio;isONclust2
Sub1k;isoQuant;47;5;14;Guided;isoQuant
Sub1k;isoQuant-noRef;25;2;35;De novo;isoQuant
Sub1k;Stringtie2;46;7;14;Guided;Stringtie2
Sub1k;Stringtie2-noRef;34;9;22;De novo;Stringtie2
Sub1M;Bambu;157;12;0;Guided;Bambu
Sub1M;Bambu-noRef;84;57;57;De novo;Bambu
