Sequin	MixA	Type	Transcript	Classcode	TPM	nbReads
R1_101_2	3.7766	TP	80a19640-3677-4285-b0cb-85766fe99ffd	=	8.712341	22.000
R1_102_1	13.2179	TP	4514a87c-5d13-4b51-abe4-320cbbb4505e	=	12.877922	153.000
R1_103_1	60.4248	TP	ac177d54-f57e-4e0f-9c02-578aa3360082	=	225.214730	3434.000
R1_103_2	906.3721	TP	e2d613bf-dcb3-485c-b82b-e5929a2e8f48	=	320.243572	5010.000
R1_103_2	906.3721	TP	ef57db25-b957-41f2-8f5d-0418ee78c473	=	318.275265	5010.000
R1_11_2	1450.1954	TP	1c5ee04d-4ba4-4a9f-9488-23dfff38d3ef	=	249.412292	333.000
R1_11_2	1450.1954	TP	6e003112-9662-469b-8f76-0c1f55f2da30	=	2292.106559	12352.000
R1_11_2	1450.1954	TP	80f5c9f6-ed6f-4e48-95f2-252e8cbf1f95	=	2398.846903	12347.000
R1_11_2	1450.1954	TP	b511b172-50e2-4ead-b585-418853a609ca	=	2296.229053	12352.000
R1_13_1	113.2965	TP	3d60d061-3146-4b95-b6f5-937ca9d24bbc	=	26.393727	429.000
R1_22_1	453.186	TP	6d03c035-eda9-4177-bd0b-8a86b8f7a4ae	=	466.537616	4279.000
R1_22_1	453.186	TP	d18a0715-b992-4f17-acea-e47d92540703	c	974.371715	3356.000
R1_22_1	453.186	TP	e25adfc8-689a-44e6-848d-9719cf003d10	=	487.626968	4279.000
R1_22_1	453.186	TP	f42a8c27-ba9b-4f16-bf2c-230748877743	c	1789.944653	2563.000
R1_22_2	30.2124	TP	5dcf4631-0f4b-4ee9-b295-d7ec6db689c2	=	468.105600	3528.000
R1_23_1	26.4359	TP	92a67e88-5a1b-47b4-8920-35faad3822d2	=	9.402944	130.000
R1_23_1	26.4359	TP	92a67e88-5a1b-47b4-8920-35faad3822d2-1	=	7.851389	79.000
R1_23_2	3.7766	TP	9844948f-0c5f-414e-99cc-64520b7d92fa	=	5.386843	48.000
R1_31_1	211.4868	TP	4ab03805-8291-4f82-8cb9-2e0646a7bbfc	=	200.001699	774.000
R1_31_2	30.2124	TP	0d13467c-2783-475e-9d0c-e462cf3207ed	=	30.682337	358.000
R1_32_2	3.7766	TP	d0a24d4e-ddf6-48f4-85af-c4c699584f60	=	21.384838	108.000
R1_33_2	60.4248	TP	a6609ce2-600e-490a-8260-79b9fe7f6ffd	=	38.624019	284.000
R1_41_1	90.6372	TP	e742e9b9-23f5-45a6-88e8-d5e7437bdb19	=	131.232423	226.000
R1_61_1	1.8883	TP	0ff2ee21-c236-4e38-9a8b-d4b70372d20e	=	2.842401	11.000
R1_61_2	5.6648	TP	351f5a61-13fe-4ced-8d50-6bf4e8a77b95	=	6.840003	18.000
R1_71_1	3.7766	TP	05a4fdc3-75af-437a-ae64-033cd507748b	=	2.729579	15.000
R1_71_2	26.4359	TP	1c82fa9d-d4a5-4d69-bd6e-ff6c06008fc9	=	14.576417	33.000
R1_71_2	26.4359	TP	4ada2565-e820-4820-930b-627d1c910c6e	=	14.391906	33.000
R1_73_2	79.7607	TP	6fb1595d-4e30-4aca-a45b-6f371bec76d0-1	c	200.651615	1025.000
R1_73_2	79.7607	TP	b22b1c5a-4ae1-468b-bbb8-4666f1388dfe	c	148.133530	1866.000
R1_73_2	79.7607	TP	f3913972-35ec-4805-bbbd-dc66fd15e2e4	c	614.525036	156.000
R1_91_1	1.8883	TP	1bb59d92-f87d-468c-adba-e67881edcb47	=	7.812097	26.000
R1_92_1	60.4248	TP	2b5971f8-71e6-4812-88dc-6fcee6c99db3	c	13075.136372	535.000
R1_92_1	60.4248	TP	d7aab219-d8c8-4b82-a0e8-127d0975da22	c	10254.613930	487.000
R1_92_2	60.4248	TP	c457fdcc-a993-439f-acba-779585300466	=	134.442071	545.000
R2_116_1	1.2463	TP	14aa7e37-4714-41a9-9a8d-5ea77cad3acb	=	1.566061	8.000
R2_116_2	1.2463	TP	80164d86-3fe1-48e4-b369-c5af2da24f3f	=	1.607823	7.000
R2_116_3	1.2463	TP	a05c6f4c-889f-4f38-af08-1012a40a2735	=	5.742225	21.000
R2_117_1	30.2124	TP	11c25650-be1e-4268-872f-7ae6d944d2d1	=	65.182015	490.000
R2_117_3	30.2124	TP	990cb07e-920a-4bc7-9553-895daf855472	=	98.207204	648.000
R2_140_1	60.4248	TP	b2e83477-75db-400d-a173-fef17672d444	=	60.528836	407.000
R2_14_1	551.0742	TP	63d6ec8b-4956-4e2a-8b1b-90ffb4443935	=	680.847608	5329.000
R2_14_1	551.0742	TP	d3495c63-ec42-449f-b0d8-d10bfb1f582b	=	673.613670	5318.000
R2_14_1	551.0742	TP	de5ac4a2-3e48-46c3-a181-5b538daab311	=	732.039735	5843.000
R2_14_2	280.3711	TP	05eec74b-6823-4248-955c-1cd5c90c7412	=	4123.522024	12886.000
R2_14_2	280.3711	TP	3bf8ca17-c094-4ed1-b865-c4a12443e23b	=	4219.187233	14083.000
R2_14_2	280.3711	TP	5ce21580-d840-435d-a798-845508e72c8b	=	4124.802025	12890.000
R2_14_2	280.3711	TP	9feae1cd-6342-46fd-bc38-0193ba9411c2	=	4379.542147	12881.000
R2_14_2	280.3711	TP	fcc0a679-a72a-4af4-8d7f-23b64ec5688e	=	4388.344134	13289.000
R2_14_3	135.3516	TP	7789cd41-d716-4e8a-b419-4e46fdccd133	=	738.112364	3035.000
R2_14_3	135.3516	TP	98112b3c-de9a-4b2f-98d8-17499ab84686	c	994.695316	1713.000
R2_150_1	483.3985	TP	0bfdf632-e319-4051-8daa-86e1d9589237	=	522.430765	2598.000
R2_150_1	483.3985	TP	1731730b-034e-4f4d-8505-a6ac8308a715	=	550.797270	2414.000
R2_150_1	483.3985	TP	22ec7fa7-b9e2-4460-bca9-e28c9e6c8b60	=	571.351393	2189.000
R2_150_2	483.3985	TP	48370fb1-de33-423c-80c6-45d82585d6da	c	536.845837	857.000
R2_150_2	483.3985	TP	e80cc560-fa42-4d0e-af15-099b86eef28f	=	240.204716	1901.000
R2_150_2	483.3985	TP	fe85206f-3adf-468f-9f64-f6f3acfd9140	c	0.000000	0.000
R2_154_2	1691.8946	TP	0b94841a-8ae5-401a-b5ba-68aee79df0e7	=	2437.574544	13584.000
R2_154_2	1691.8946	TP	83a3ff6c-7fa5-43dc-b1fa-d4c7c484fc50	=	2433.349978	13584.000
R2_154_2	1691.8946	TP	9f1ddd3e-3987-4d22-8514-475fff7a477d	=	2433.887379	13587.000
R2_154_2	1691.8946	TP	b93b8aeb-af71-4b5f-aae7-4ce0a13bdb80	c	0.223240	1.000
R2_154_2	1691.8946	TP	e9d30a5a-22fd-40fe-a9b2-3a3b904e9255	=	2279.626069	13586.000
R2_19_1	4.985	TP	f92ef1e4-e7d4-49f4-9764-236dd32eec0c	=	2.824837	39.000
R2_19_2	10.1212	TP	7c557bdb-7c8d-4564-afb3-63827f4fc3a9	c	2.228502	21.000
R2_19_2	10.1212	TP	c7e326f5-8563-4155-ac96-33dcd66964a0	c	1.401699	23.000
R2_19_2	10.1212	TP	d167c974-b23d-4176-855c-6906310ac739	c	10.761744	182.000
R2_1_1	0.9441	TP	8721b834-79bf-4be5-acbb-92f1e4228c8c	=	0.706011	5.000
R2_26_1	19.9402	TP	bdbb5ad2-603a-4fbd-a77b-0f689623cc1c	c	289.408114	364.000
R2_26_1	19.9402	TP	d2ff6ab9-abd9-45b2-bb8d-084efb1b1d1c	=	23.322921	549.000
R2_28_1	20.5444	TP	f4fdd4bd-2287-4b93-8078-bb83fda43b49	c	2.049205	1.000
R2_28_2	19.9402	TP	035f1e1c-171d-4af4-889b-c7dfbffb0e52	c	0.182938	1.000
R2_28_2	19.9402	TP	2998a646-6f53-46b3-a944-814f8ca243c5	=	10.860951	240.000
R2_28_3	19.9402	TP	3b658899-b1ed-4082-9465-e7479bfcf124	=	44.334641	169.000
R2_28_3	19.9402	TP	5e902fd6-6d70-4a12-98f8-7e216af15a1a	=	45.524233	159.000
R2_32_1	17.2211	TP	574972a3-e69d-4b3d-af95-21d333f4956b	=	20.060010	118.000
R2_32_2	8.7616	TP	5145f5b4-2ca6-4ae3-9806-5e63687baf8f	c	9.919626	81.000
R2_32_2	8.7616	TP	d488a74b-f85c-4959-bf58-feb457a237ca	=	7.233978	59.000
R2_38_1	31.9043	TP	44ffc0c2-88f2-4fd6-852c-73e51e8aa97e	=	116.788024	661.000
R2_38_2	64.7754	TP	242ad005-c50d-4cc6-b164-f3a0b8e4fc5e	=	710.900817	3549.000
R2_38_4	258.1347	TP	1bf34a06-e5ef-4750-9c2a-65f73c873c18	=	1016.060620	3244.000
R2_41_1	15.1062	TP	d22929ea-a9ca-4522-ae8d-d72ef0fdb931	=	26.377227	491.000
R2_41_2	226.593	TP	6d689958-53c6-4c22-a85f-0872137018eb	=	673.150528	2312.000
R2_42_1	164.3555	TP	2de75926-94e0-4f40-aa32-17f94e1ad297	=	89.572458	955.000
R2_42_2	159.5215	TP	192c07d6-91f8-4952-b3ef-853feb1cdec2	=	420.628313	1697.000
R2_45_1	0.997	TP	9149da72-8ce1-4df9-9cd9-e86d936ba822	=	7.716280	81.000
R2_45_2	2.0242	TP	ff938bb0-1e50-45f6-a758-35bc6ee978a8	=	6.122145	94.000
R2_45_3	4.0182	TP	1e9b5a1c-c5e6-4644-9d7c-66136f258edb	=	6.501779	107.000
R2_45_4	8.0667	TP	b8690101-4814-4233-9988-f289e5202f10	=	10.378657	146.000
R2_46_1	82.1777	TP	51f59746-929a-4371-a00c-dc8b65acb095	=	100.744917	1618.000
R2_46_2	79.7607	TP	3f6319f3-ae28-43f7-b558-158f4558ffaa	=	196.027682	385.000
R2_53_2	35.0464	TP	3ed5e9c6-d9b5-46c6-bfec-c022f60e30f8	=	209.900411	3432.000
R2_53_3	16.9189	TP	0127f169-85fe-4505-8af0-e4cde4c0da58	=	217.700278	2974.000
R2_54_1	0.0779	TP	40dfea47-b015-4cbd-a944-128e969d6d4c	c	8.055257	4.000
R2_55_2	1.4162	TP	4c267ecb-1ab2-4ebb-8dff-0cfda103f281	=	2.849525	11.000
R2_55_3	0.4721	TP	7dde478f-8a24-4c99-8fb3-c1d88cae4a46	=	1.557214	8.000
R2_57_2	6.609	TP	9f8f90be-06b5-40b9-8791-24cafbe85d81	=	5.613805	51.000
R2_59_1	4.3053	TP	f1ad6b8f-45ab-4bcc-b706-a22cb10c2e24	=	0.961896	22.000
R2_59_3	1.0574	TP	26229f6f-7c25-40f7-890d-5c03753bb299	=	1.233414	10.000
R2_63_1	0.9442	TP	730ea186-351c-4d18-8bda-e182c0e19ec2	c	4.948088	18.000
R2_63_3	0.9442	TP	42827c4b-1d54-4e4a-bbab-140ccf305361	=	1.604258	7.000
R2_65_1	966.7969	TP	26f9ff23-8c84-4f75-b4c4-33a8c60c3f0d	=	1703.254988	10909.000
R2_65_1	966.7969	TP	2813feed-1e04-420e-9d61-60da9e559530	=	0.000000	0.000
R2_65_1	966.7969	TP	2c5f1850-b191-4c98-8378-62fec631bc48	=	1708.416367	10909.000
R2_65_1	966.7969	TP	6796ace9-da54-422f-8c73-63329bd4206c	=	1698.124702	10909.000
R2_65_1	966.7969	TP	afa10c0c-1a28-4b63-b129-76b8934445cc	=	1859.136089	9677.000
R2_65_1	966.7969	TP	de160773-d0f5-4255-8f3f-d641e5fea5e9	=	0.000000	0.000
R2_65_1	966.7969	TP	e8f30cb0-1647-4543-954a-5e76e2963114	=	1716.217355	10909.000
R2_65_1	966.7969	TP	fbb15a4f-5cb7-4a71-a8ff-5f66cc38ae7a	=	1721.457713	10909.000
R2_67_1	3.7766	TP	76f37a7e-3b7e-4add-b4e9-e6c78184aa5d	=	3.960155	10.000
R2_68_1	1.8883	TP	1750eb04-662d-4be8-9b84-9abfd384c63f	c	0.544637	9.000
R2_6_1	362.5488	TP	af461aa9-7699-4b29-ab94-c0a4612edd22	=	342.357501	944.000
R2_71_1	3.5406	TP	20ee1c9b-1d35-4523-baf9-ff722ce18c38	=	1.433897	12.000
R2_72_3	514.336	TP	9100114e-6c05-4438-af58-24aa5c09d9b9	c	137.774516	1181.000
R2_72_3	514.336	TP	9dfd5089-60d0-4d6a-8a6d-d762941ee1de	=	972.477075	15035.000
R2_72_3	514.336	TP	c35be160-5f12-4185-a21a-3c1d5a1328cd	=	462.145841	4972.000
R2_7_2	725.0977	TP	50755706-11c8-45fb-adcd-abc4fda0185e	=	218.784654	3101.000
R2_7_2	725.0977	TP	69300108-514e-47ad-af19-3a6ef1feb253	=	212.521282	3004.000
R2_72_3	0	FP	0023c74d-d602-4d41-826b-97c976965522	j	1065.065562	12118.000	
R2_72_1	0	FP	00b692c2-168b-4d57-b896-171d7f3d5fa4	x	0.282405	1.000	
R1_92_1	0	FP	00d932b8-31de-4751-aa98-d29ff66cbd04	y	119.932548	275.000	
R1_22_1	0	FP	00ec01d9-9924-4bd9-b055-c805d6fb22e9	j	468.778407	3524.000	
R2_14_1	0	FP	01505bc5-0386-4daf-b242-98267781ffa2	j	4044.536211	14087.000	
R2_41_1	0	FP	01652084-3059-4d09-8d79-cf6f99ca1e13	j	698.133676	2310.000	
R1_103_2	0	FP	017fcae9-527e-49df-82c9-ca49547f0f0e	j	288.486152	1189.000	
R2_154_1	0	FP	01817ef3-3a29-4304-a92b-9f5626dcac9a	j	0.164324	1.000	
R2_72_3	0	FP	019288c8-381e-471d-b02d-59c9960cafc4	j	799.388766	11253.000	
R2_42_1	0	FP	01a96ae0-ce6e-4ab3-ad0e-9dc07414d230	j	91.143905	955.000	
R1_101_1	0	FP	01de392b-39ae-4972-8365-3783e04766f5	j	17.625609	81.000	
R2_65_1	0	FP	0242c51b-e7a1-4e1c-b0aa-bbd9d8c2901f	o	1665.516695	10909.000	
R2_46_1	0	FP	0270a425-4081-4ea2-97f0-a35c791c9e22	j	101.049282	1618.000	
R1_103_2	0	FP	0286476c-6dcf-40d7-85ce-a94795e7c970	j	323.147163	4946.000	
R2_72_3	0	FP	032b8e3e-2c36-4fbf-a631-7f7b681c8b2e	j	875.571582	8056.000	
R2_53_2	0	FP	0381b56c-8d9f-4ce4-9965-1273dc40dc77	j	209.052455	3406.000	
R2_7_2	0	FP	03c710f5-2948-4b9f-9c29-5a112d3f7bf3	j	217.455041	2998.000	
R2_14_1	0	FP	04743206-ec2f-48b6-b39e-1f7fd058b33f	j	4157.568934	11665.000	
R1_103_2	0	FP	04c1bdd2-5d07-468a-bb38-0a55452e6628	j	317.085455	4979.000	
R2_72_1	0	FP	05031571-ecc0-43e4-b21e-6750e448de26	x	2.401654	27.000	
R1_103_2	0	FP	051f99ae-a6da-45ae-a582-b530c9e08e1f	j	317.449401	4997.000	
R1_103_2	0	FP	0520a665-75e6-4f2f-aea4-307fd133ea5f	j	251.512346	2903.000	
R2_72_3	0	FP	0523cba7-f13b-4b47-8bda-68aefa8d7f54	s	0.599536	5.000	
R1_73_1	0	FP	05401575-5f99-4779-9345-c572f6a5cecc	j	135.081625	1912.000	
R2_72_3	0	FP	059c6052-6977-4071-aab9-d36f618e9fcd	j	990.045861	15048.000	
R2_53_2	0	FP	059e4a1e-25d1-4c4f-a879-4b1d4880ab91	j	233.860129	3283.000	
R2_53_2	0	FP	05a4c5e1-8742-4712-8e9d-8874e9ef86d2	j	97.058849	955.000	
R2_154_2	0	FP	0615d111-e4d4-4cd5-b1f6-9fc137eef2e0	x	0.193196	1.000	
R2_150_2	0	FP	061a5e24-8efa-40e7-b62d-cf2b056a65bc	j	223.782086	3397.000	
R2_7_2	0	FP	064a07ea-625a-49a1-bb17-1c4c332a336d	j	193.648096	1911.000	
R1_11_2	0	FP	066e64cd-0387-4d0f-bc5f-dbec393eb3ba	j	2440.765278	12303.000	
R2_53_2	0	FP	06ac7f18-15c0-4e36-96f5-4d5fdeee809f	j	209.406364	3430.000	
R2_53_2	0	FP	06e56423-7aa3-41c5-91ce-86a13aade7f6	j	235.104693	3280.000	
R2_14_1	0	FP	06f9b88b-eaaa-4759-ad5a-32398e05d6cc	j	4197.107124	12182.000	
R1_73_1	0	FP	07254211-e9cb-4009-8051-a23c8f5113e6	j	209.868125	1200.000	
R1_32_1	0	FP	0747fc98-5ed0-4264-99f8-a6833f6803fc	j	22.050144	144.000	
R1_103_2	0	FP	07903326-3c14-4c00-a57c-b537f9358ea7	j	318.119268	4986.000	
R2_72_3	0	FP	079ff328-2d9b-43f6-8231-83b5da9bb4ca	j	1053.186396	11830.000	
R1_11_2	0	FP	07e3ad29-e042-4337-b021-6422febdc0d3	j	2472.412565	12319.000	
R1_73_1	0	FP	080b71cf-eed7-4c2d-a339-04a688889020	j	222.870110	1104.000	
R2_14_1	0	FP	083f5492-fbfc-4f96-a757-e3005cf5bf91	j	714.422655	5654.000	
