Sequin	MixA	Type	Transcript	Classcode	TPM	nbReads
R1_101_2	3.7766	TP	73:516|a2eab31b-a45f-4fbd-a858-cc1555b4295a	=	19.821305	57.000
R1_102_1	13.2179	TP	58:1553|c8105af3-5e09-4f7a-8206-c44b052fa759-1	=	6.339565	89.000
R1_102_2	1.8883	TP	64:1435|20f13cd7-7b4e-4f81-9d8f-26a1c97f0f99	=	2.703062	34.000
R1_103_1	60.4248	TP	74:1830|1f324348-e0f6-43cc-907d-0f5b6797ea14	=	50.447127	859.000
R1_103_2	906.3721	TP	68:1949|c98007d7-1c42-46cf-be79-7cfd89b0cc04	=	165.852091	3025.000
R1_11_1	483.3985	TP	56:764|46cdc9d4-1fcd-48b9-b22f-eca870067db5	=	690.853453	3551.000
R1_11_2	1450.1954	TP	60:854|6b470e49-abf7-48c0-8f5d-9ff9a4a10265	=	1810.529458	11028.000
R1_13_1	113.2965	TP	59:2006|4b51676c-2310-48d9-901e-ff99eed0709c	=	40.219645	770.000
R1_13_2	7.5531	TP	79:793|e915dd09-b749-4b6a-b47c-4fd77df14072	=	21.095843	107.000
R1_14_1	483.3984	TP	59:1086|c1528cb2-719d-497c-b007-1bccd07f4598	c	2.445025	8.000
R1_14_1	483.3984	TP	60:731|f0d573f0-d8b8-4e6c-8fba-9b5f43c26d22	=	3565.931113	17683.000
R1_22_1	453.186	TP	73:1251|a735f5dd-7c90-47d7-acd4-a3c41a758382	=	128.212814	1334.000
R1_22_2	30.2124	TP	76:1119|2631df38-922b-4e1a-a14a-d5356a349927	=	145.163685	1300.000
R1_23_1	26.4359	TP	77:1755|d313187d-785f-42fb-99fa-94315555fad9	=	4.726297	77.000
R1_23_2	3.7766	TP	74:1262|0cd27c87-ce2b-4b08-a743-f574d9b25e58	=	4.075151	43.000
R1_31_1	211.4868	TP	69:733|671c7eb2-0b5d-45ad-83ec-f69d43d32d82	=	273.983715	1278.000
R1_31_2	30.2124	TP	53:1542|163eb694-9b35-4bbf-a6ff-97bc2e6f0c0d	=	41.659344	574.000
R1_32_1	56.6483	TP	70:1022|b654a065-6da3-4fa6-ba6f-703597a5f7c0	=	9.545373	75.000
