Sequin	MixA	Type	Transcript	Classcode	TPM	nbReads
R1_102_1	13.2179	TP	STRG.51.1	=	296.077739	150.000
R1_103_1	60.4248	TP	STRG.49.1	=	4664.039756	3900.000
R1_103_2	906.3721	TP	STRG.49.2	=	6060.775451	5009.000
R1_11_1	483.3985	TP	STRG.67.2	=	26727.780514	6196.000
R1_11_2	1450.1954	TP	STRG.67.1	=	44864.692692	12352.000
R1_13_1	113.2965	TP	STRG.52.1	=	498.403392	429.000
R1_13_2	7.5531	TP	STRG.52.2	=	218.112848	49.000
R1_14_1	483.3984	TP	STRG.39.1	=	55511.455522	12130.000
R1_22_1	453.186	TP	STRG.45.2	c	1314.141037	269.000
R1_23_1	26.4359	TP	STRG.44.1	=	177.770958	130.000
R1_23_2	3.7766	TP	STRG.44.2	=	101.843027	48.000
R1_31_1	211.4868	TP	STRG.19.1	=	3671.076489	774.000
R1_31_2	30.2124	TP	STRG.19.3	=	629.426725	392.000
R1_32_1	56.6483	TP	STRG.21.1	=	409.595754	144.000
R1_32_2	3.7766	TP	STRG.21.2	=	364.074299	98.000
R1_33_2	60.4248	TP	STRG.20.1	=	727.350085	284.000
R1_41_1	90.6372	TP	STRG.65.1	=	1943.434842	182.000
R1_41_2	30.2124	TP	STRG.65.2	=	180.984970	69.000
R1_43_2	0.8261	TP	STRG.63.1	c	22.332721	2.000
R1_52_2	0.8851	TP	STRG.15.1	c	12.751146	4.000
R1_52_2	0.8851	TP	STRG.16.1	c	266.424138	3.000
R1_53_1	0.236	TP	STRG.64.1	c	18.177796	2.000
R1_61_1	1.8883	TP	STRG.60.2	=	53.604099	11.000
R1_61_2	5.6648	TP	STRG.60.1	=	87.773400	19.000
R1_62_1	2.8325	TP	STRG.61.1	=	83.271864	30.000
R1_62_2	0.9442	TP	STRG.61.2	=	79.963707	32.000
R1_71_1	3.7766	TP	STRG.62.3	=	50.888361	15.000
R1_73_2	79.7607	TP	STRG.59.3	c	3468.378898	1514.000
R1_91_1	1.8883	TP	STRG.58.2	=	61.945947	11.000
R1_91_2	28.3241	TP	STRG.58.1	=	202.149629	72.000
R1_92_2	60.4248	TP	STRG.6.2	=	3142.148269	767.000
R2_116_1	1.2463	TP	STRG.54.2	=	29.330027	8.000
R2_116_2	1.2463	TP	STRG.54.3	=	30.063278	7.000
R2_116_3	1.2463	TP	STRG.54.1	=	97.263546	22.000
R2_117_1	30.2124	TP	STRG.17.2	=	1227.583858	490.000
R2_117_3	30.2124	TP	STRG.17.1	=	1815.296304	680.000
R2_140_1	60.4248	TP	STRG.38.1	=	8.435020	3.000
R2_14_1	551.0742	TP	STRG.47.2	=	15040.197425	7435.000
R2_14_2	280.3711	TP	STRG.47.3	=	81938.984959	14089.000
R2_14_3	135.3516	TP	STRG.47.4	=	18554.031076	6466.000
R2_150_1	483.3985	TP	STRG.46.1	=	10076.258290	2604.000
R2_154_1	241.6992	TP	STRG.41.2	=	3925.778069	1342.000
R2_154_2	1691.8946	TP	STRG.41.1	=	43812.762955	13587.000
R2_19_1	4.985	TP	STRG.50.1	=	53.406033	39.000
R2_19_2	10.1212	TP	STRG.50.3	c	20.263571	23.000
R2_19_2	10.1212	TP	STRG.50.4	c	95.871379	196.000
R2_1_1	0.9441	TP	STRG.55.1	=	0.000000	0.000
R2_20_2	0.4426	TP	STRG.36.1	c	33.499081	3.000
R2_26_1	19.9402	TP	STRG.37.2	=	277.746737	590.000
R2_26_2	40.4846	TP	STRG.37.1	=	1162.764199	695.000
R2_32_1	17.2211	TP	STRG.32.1	=	378.008759	118.000
R2_32_2	8.7616	TP	STRG.32.2	=	187.932366	98.000
R2_32_3	4.2297	TP	STRG.32.3	=	130.274205	61.000
R2_37_2	0.0779	TP	STRG.27.1	c	27.140459	2.000
R2_38_1	31.9043	TP	STRG.31.2	=	2196.759566	679.000
R2_38_2	64.7754	TP	STRG.31.1	=	12988.459971	3556.000
R2_38_4	258.1347	TP	STRG.31.3	=	18110.341301	3253.000
R2_41_1	15.1062	TP	STRG.25.1	=	506.210261	501.000
R2_41_2	226.593	TP	STRG.25.2	=	12619.858672	2312.000
R2_42_1	164.3555	TP	STRG.30.1	=	1681.241427	955.000
R2_42_2	159.5215	TP	STRG.30.2	=	8202.449908	1700.000
R2_42_3	159.5215	TP	STRG.30.3	=	9028.256126	1423.000
R2_45_1	0.997	TP	STRG.24.1	=	138.995490	85.000
R2_45_2	2.0242	TP	STRG.24.3	=	112.715174	98.000
R2_45_3	4.0182	TP	STRG.24.4	=	121.773066	106.000
R2_45_4	8.0667	TP	STRG.24.5	=	186.936837	150.000
R2_46_1	82.1777	TP	STRG.22.1	c	2219.872450	1278.000
R2_46_3	79.7607	TP	STRG.22.2	=	2754.720057	1046.000
R2_53_1	68.8843	TP	STRG.28.1	c	189661.659526	961.000
R2_53_2	35.0464	TP	STRG.29.1	=	4375.857814	3874.000
R2_54_1	0.0779	TP	STRG.66.1	c	469.228155	4.000
R2_55_2	1.4162	TP	STRG.18.1	=	53.738109	11.000
R2_55_3	0.4721	TP	STRG.18.2	=	29.385159	8.000
R2_59_1	4.3053	TP	STRG.71.1	=	18.185485	22.000
R2_59_2	2.1904	TP	STRG.71.3	=	8.567255	11.000
R2_59_3	1.0574	TP	STRG.71.2	=	20.422524	19.000
R2_63_3	0.9442	TP	STRG.26.1	=	44.036351	24.000
R2_67_1	3.7766	TP	STRG.14.1	=	74.584468	10.000
R2_68_1	1.8883	TP	STRG.12.1	c	17.737789	6.000
R2_68_2	1.8883	TP	STRG.13.1	c	7.492765	5.000
R2_6_1	362.5488	TP	STRG.5.1	=	6176.042953	945.000
R2_71_1	3.5406	TP	STRG.10.1	=	27.109083	12.000
R2_72_1	127.6172	TP	STRG.8.4	=	17447.593791	8009.000
R2_72_2	259.1016	TP	STRG.8.1	=	15392.417688	12225.000
R2_72_3	514.336	TP	STRG.8.3	=	20320.363412	16846.000
R2_72_4	1032.5391	TP	STRG.8.2	=	22392.507368	13751.000
R2_7_1	241.6992	TP	STRG.11.2	=	9626.198134	1867.000
R2_7_2	725.0977	TP	STRG.11.1	=	4129.195326	3102.000
R1_31_2	0	FP	STRG.19.2	j	1890.599108	893.000
	
R1_31_2	0	FP	STRG.19.4	j	3509.242493	774.000
	
R1_33_1	0	FP	STRG.20.2	j	326.150112	351.000
	
R2_46_1	0	FP	STRG.22.3	n	3780.386940	414.000
	
R2_46_1	0	FP	STRG.23.1	o	3506.272488	567.000
	
R2_45_2	0	FP	STRG.24.2	j	124.482319	96.000
	
R2_45_2	0	FP	STRG.24.6	j	191.945622	144.000
	
R1_92_1	0	FP	STRG.3.1	j	4254.768328	442.000
	
R2_38_3	0	FP	STRG.31.4	j	12278.083278	3927.000
	
R2_28_3	0	FP	STRG.33.1	m	807.802651	315.000
	
R2_28_3	0	FP	STRG.33.2	k	834.436082	196.000
	
R2_28_2	0	FP	STRG.33.3	k	223.490937	273.000
	
R2_28_2	0	FP	STRG.34.1	x	0.817963	1.000
	
R2_28_2	0	FP	STRG.34.2	x	0.839756	1.000
	
R2_27_1	0	FP	STRG.35.1	j	151.328622	69.000
	
