Sequin	MixA	Type	Transcript	Classcode	TPM	nbReads
R1_101_1	11.3297	TP	STRG.47.1	=	702.404708	153.000
R1_101_2	3.7766	TP	STRG.47.2	=	483.338693	57.000
R1_102_1	13.2179	TP	STRG.45.1	=	152.633272	90.000
R1_102_2	1.8883	TP	STRG.45.2	=	66.113633	34.000
R1_103_1	60.4248	TP	STRG.43.1	=	1238.880140	864.000
R1_103_2	906.3721	TP	STRG.43.2	=	4050.307109	3027.000
R1_11_1	483.3985	TP	STRG.60.2	=	16674.605576	3555.000
R1_11_2	1450.1954	TP	STRG.60.1	=	43817.418408	11044.000
R1_13_1	113.2965	TP	STRG.46.1	=	984.609467	770.000
R1_13_2	7.5531	TP	STRG.46.2	=	516.443307	107.000
R1_14_1	483.3984	TP	STRG.34.1	=	89631.833655	17700.000
R1_22_1	453.186	TP	STRG.39.1	=	3094.972603	1334.000
R1_22_2	30.2124	TP	STRG.39.2	=	3501.642687	1302.000
R1_23_1	26.4359	TP	STRG.38.1	=	115.703587	77.000
R1_23_2	3.7766	TP	STRG.38.2	=	99.762985	43.000
R1_31_1	211.4868	TP	STRG.15.1	=	6674.940555	1278.000
R1_31_2	30.2124	TP	STRG.15.2	=	1461.639923	824.000
R1_32_1	56.6483	TP	STRG.17.1	=	233.006972	75.000
R1_32_2	3.7766	TP	STRG.17.2	=	189.959478	47.000
R1_33_2	60.4248	TP	STRG.16.1	=	3787.566370	536.000
R1_41_1	90.6372	TP	STRG.58.1	c	17160.446407	221.000
R1_41_1	90.6372	TP	STRG.58.3	=	2663.048915	234.000
R1_41_2	30.2124	TP	STRG.58.2	=	598.084279	208.000
R1_52_2	0.8851	TP	STRG.12.1	=	12.070281	7.000
R1_61_1	1.8883	TP	STRG.55.2	=	57.452540	11.000
R1_61_2	5.6648	TP	STRG.55.1	=	235.198053	31.000
R1_62_1	2.8325	TP	STRG.56.2	=	67.476175	22.000
R1_62_2	0.9442	TP	STRG.56.1	=	60.754411	22.000
R1_71_1	3.7766	TP	STRG.57.2	=	208.774246	56.000
R1_71_2	26.4359	TP	STRG.57.1	=	1570.021221	167.000
R1_72_2	1.2652	TP	STRG.54.1	=	0.000000	0.000
R1_73_2	79.7607	TP	STRG.53.2	c	24462.583468	5057.000
R1_81_1	0.3163	TP	STRG.52.1	c	115.424502	2.000
R1_91_1	1.8883	TP	STRG.51.2	=	168.179253	28.000
R1_91_2	28.3241	TP	STRG.51.1	=	524.564751	172.000
R1_92_1	60.4248	TP	STRG.6.1	c	6276.690017	1672.000
R1_92_2	60.4248	TP	STRG.6.3	=	5784.053126	1292.000
R2_116_3	1.2463	TP	STRG.48.1	=	11.060382	2.000
R2_117_1	30.2124	TP	STRG.13.2	=	1341.556006	492.000
R2_117_3	30.2124	TP	STRG.13.1	=	1613.746865	556.000
R2_140_1	60.4248	TP	STRG.32.1	=	0.000000	0.000
R2_14_1	551.0742	TP	STRG.42.1	=	17140.491442	7705.000
R2_14_2	280.3711	TP	STRG.42.3	=	117204.348708	18917.000
R2_14_3	135.3516	TP	STRG.42.4	=	17089.488679	5398.000
R2_150_1	483.3985	TP	STRG.40.1	=	12875.928527	3025.000
R2_150_2	483.3985	TP	STRG.40.6	c	12900.351674	1229.000
R2_151_2	0.6231	TP	STRG.37.3	c	28.081879	2.000
R2_153_1	0.5381	TP	STRG.33.1	=	26.051864	5.000
R2_153_3	0.1322	TP	STRG.33.2	c	34.052036	2.000
R2_154_1	241.6992	TP	STRG.36.2	=	6577.821801	2026.000
R2_154_2	1691.8946	TP	STRG.36.1	=	38148.210000	10656.000
R2_19_1	4.985	TP	STRG.44.1	=	55.597827	37.000
R2_19_2	10.1212	TP	STRG.44.2	c	20.791391	26.000
R2_1_1	0.9441	TP	STRG.49.1	=	0.000000	0.000
R2_26_1	19.9402	TP	STRG.31.1	c	422.325134	75.000
R2_26_1	19.9402	TP	STRG.31.3	c	78.828828	79.000
R2_26_1	19.9402	TP	STRG.31.4	=	54.161774	104.000
R2_26_2	40.4846	TP	STRG.31.2	=	336.646240	182.000
R2_28_1	20.5444	TP	STRG.28.2	=	1807.113438	580.000
R2_28_3	19.9402	TP	STRG.28.1	=	1448.910045	262.000
R2_32_1	17.2211	TP	STRG.27.1	=	1478.737405	424.000
R2_32_2	8.7616	TP	STRG.27.2	=	326.345889	155.000
R2_32_3	4.2297	TP	STRG.27.3	=	187.010136	80.000
R2_38_1	31.9043	TP	STRG.26.2	=	2609.801529	729.000
R2_38_2	64.7754	TP	STRG.26.1	=	21586.671709	5341.000
R2_38_4	258.1347	TP	STRG.26.4	=	30757.555544	5007.000
R2_41_1	15.1062	TP	STRG.20.1	c	311.210208	154.000
R2_41_2	226.593	TP	STRG.20.2	=	20538.948584	3486.000
R2_42_1	164.3555	TP	STRG.25.1	=	2717.883428	1404.000
R2_42_2	159.5215	TP	STRG.25.2	=	14657.374349	2786.000
R2_42_3	159.5215	TP	STRG.25.3	=	16507.691726	2359.000
R2_45_1	0.997	TP	STRG.19.1	=	93.233701	52.000
R2_45_2	2.0242	TP	STRG.19.2	=	79.710471	63.000
R2_45_3	4.0182	TP	STRG.19.3	=	98.458707	78.000
R2_45_4	8.0667	TP	STRG.19.4	=	156.212126	114.000
R2_46_1	82.1777	TP	STRG.18.1	=	968.640078	749.000
R2_46_3	79.7607	TP	STRG.18.2	=	1475.995507	514.000
R2_53_1	68.8843	TP	STRG.23.1	c	120610.704720	560.000
R2_53_2	35.0464	TP	STRG.24.1	=	2261.399731	1780.000
R2_53_3	16.9189	TP	STRG.24.3	=	2611.142128	1722.000
R2_54_1	0.0779	TP	STRG.59.1	c	1025.890581	7.000
R2_55_2	1.4162	TP	STRG.14.1	=	36.827574	7.000
R2_57_1	0.9441	TP	STRG.63.1	=	58.645184	31.000
R2_57_2	6.609	TP	STRG.63.2	=	172.802478	76.000
R2_59_1	4.3053	TP	STRG.64.3	=	26.402878	29.000
R2_59_2	2.1904	TP	STRG.64.2	=	9.431147	11.000
R2_59_3	1.0574	TP	STRG.64.1	=	29.555832	25.000
R2_63_1	0.9442	TP	STRG.21.1	=	9.821217	6.000
R2_65_1	966.7969	TP	STRG.50.1	=	24716.705817	7590.000
R2_67_1	3.7766	TP	STRG.11.1	=	190.092719	24.000
R2_68_1	1.8883	TP	STRG.10.2	c	8.175065	4.000
R2_68_2	1.8883	TP	STRG.10.1	c	6.048405	4.000
R2_6_1	362.5488	TP	STRG.5.1	=	26054.700958	3651.000
R2_71_1	3.5406	TP	STRG.8.1	=	19.724558	8.000
R2_72_3	514.336	TP	STRG.7.3	c	2003.619428	1149.000
R2_72_4	1032.5391	TP	STRG.7.4	c	1946.074230	738.000
R2_7_1	241.6992	TP	STRG.9.2	=	9964.434995	1788.000
R2_7_2	725.0977	TP	STRG.9.1	=	5280.929141	3617.000
R1_33_1	0	FP	STRG.16.2	j	111.478819	116.000	
R2_46_1	0	FP	STRG.18.3	n	845.516582	305.000	
R2_41_1	0	FP	STRG.20.3	j	7966.266305	3511.000	
R2_37_2	0	FP	STRG.22.1	j	46.496599	2.000	
R2_53_2	0	FP	STRG.24.2	j	2452.929562	1764.000	
R2_38_3	0	FP	STRG.26.3	j	19991.048413	5353.000	
R2_38_3	0	FP	STRG.26.5	j	21591.959522	6251.000	
R2_27_1	0	FP	STRG.29.1	j	177.592173	74.000	
R1_92_1	0	FP	STRG.3.1	j	26105.124974	1147.000	
R2_20_1	0	FP	STRG.30.1	j	24.025608	5.000	
R2_151_2	0	FP	STRG.37.1	j	28.878861	8.000	
R2_151_2	0	FP	STRG.37.2	j	35.593493	4.000	
R2_24_1	0	FP	STRG.4.1	j	56.967234	93.000	
R2_24_1	0	FP	STRG.4.2	j	45.977711	68.000	
R2_150_2	0	FP	STRG.40.2	j	4779.470529	2091.000	
R2_150_2	0	FP	STRG.40.3	j	3695.414183	1251.000	
R2_150_2	0	FP	STRG.40.4	j	3632.783935	1297.000	
R2_150_2	0	FP	STRG.40.5	o	10928.648221	1213.000	
R2_150_2	0	FP	STRG.41.1	x	0.000000	0.000	
R2_14_1	0	FP	STRG.42.2	k	17681.824951	6918.000	
R2_6_1	0	FP	STRG.5.2	j	7106.727763	1009.000	
R1_73_1	0	FP	STRG.53.1	j	14973.992385	11544.000	
R1_73_1	0	FP	STRG.53.3	j	10345.950625	10311.000	
R1_73_1	0	FP	STRG.53.4	j	11302.671644	12634.000	
R1_73_1	0	FP	STRG.53.5	j	15023.499131	11471.000	
R1_73_1	0	FP	STRG.53.6	j	7476.387312	9052.000	
R1_92_1	0	FP	STRG.6.2	j	5923.709149	1767.000	
R1_11_1	0	FP	STRG.61.1	x	14.447470	3.000	
R2_60_2	0	FP	STRG.62.1	j	107.666624	48.000	
R2_60_2	0	FP	STRG.62.2	j	92.139444	62.000	
R2_72_3	0	FP	STRG.7.1	j	3648.803136	2651.000	
R2_72_3	0	FP	STRG.7.2	j	4799.524890	2668.000	
R2_72_3	0	FP	STRG.7.5	j	4267.285637	3201.000	
