1001:1893|92fd3a26-08a8-42ff-b42e-ec23401b7a33	-
100:588|e61f5096-be16-46c2-b70d-f9445626e790	+
1014:3044|38077317-4fef-4899-b9ac-de4090f23578	+
1021:1278|66b453d4-df4b-421a-b2a8-501a9eca59d5	+
1023:1509|8b617c35-da57-4693-9f5d-7945d2b22379	+
1029:1569|617449f5-4d3d-4e40-9b9e-a0cefab21853	+
1035:2128|c46fbd63-c8e9-4977-989f-9b97e5a2ed1d	+
103:851|28556ad3-4ef6-4d11-a47e-95a36e712989	+
103:892|efc9d9ac-8134-44da-9d73-ba8dcd4ad1c4	+
104:420|d14c385e-5fb7-4eed-8207-68c8557fefdb	+
104:584|390e457c-2e4d-4a78-961f-5f093382e072	+
105:658|5f703383-5adb-4741-b9b0-84afe5b30ecc	+
1057:1819|7759485f-00ec-44ec-9958-6c7e7f62ad62	+
107:593|56354c8e-efa8-40a6-aa07-ff80c71211ad	+
1078:2602|f76e2a1f-d7a8-4de5-a166-79239451dbbf	+
1081:1563|134deef7-7d95-4aa3-a551-5f7d8714611a	+
1082:2036|926831e4-6a9f-4379-98ec-2c35f921dd80	+
108:693|d39d76d8-5583-44a3-bc41-f37f2adf0db0	+
109:1308|39ece450-b10c-4592-9ab9-48bac2a3a081	+
1096:1565|eccf03e9-c871-44ec-a9e7-eb47d3a7ec6c	+
1101:1608|1d36fd13-0e8c-41f0-8d7f-32ad40ee9bcf	+
1102:1647|6dbd5a0f-3574-4be1-93c4-6919f2edbf58	-
110:635|34ea03be-9a03-4ff6-b153-6c059c9db324	+
1109:1898|3c681c5f-c7b1-4afe-a769-c5f3cd322c75	+
113:1555|0b334348-25b0-454b-8fbc-7042830ba8da	+
113:1558|e98a838e-7d7c-4dd3-aa8e-406730fd8de2	+
1133:2447|e2e35af0-7506-442a-bba8-4d3484524e9b	-
1135:2319|3b49d278-1869-43d4-94cf-c8af8c2a9f80	-
1140:2829|bbdb3b73-46a0-4d7d-9723-3a207dc65953	+
115:686|4b7b72cf-a7ff-4b23-a8f5-e7d513e48f65	+
1171:1666|f4e71442-0e36-41f9-ac2e-5519d654ff06	+
117:602|d496b2e9-a05e-462b-beb6-6b613ab41593	+
1179:1679|616f6aca-9b45-4eba-b67d-2d91fd72b883	+
1187:1677|ad8262e5-a8dd-409d-8391-6e75060a0ca2	+
1188:2736|6ee29c5b-fe82-4f1e-9220-d3ef94fb8c4d	+
1194:1631|cbde8765-f376-47f1-ac2c-a417f58e9570	+
1199:1778|b53042da-1c1f-40ee-8b4b-e7665335a6c4	+
1200:1788|fc55a19b-7873-45e6-a3d9-ad629a0c036d	+
1205:1702|216b18ac-06bd-477a-86c8-947995eac729	+
120:737|9cb42f50-8333-42aa-9e5f-358bf565726c	-
121:691|d24ebda2-1711-4de1-8ff5-13525a9439db	+
121:699|1ac47e66-0b9b-467e-9c19-c5d975d7182b	+
1223:3607|e7039030-1086-421e-9758-2f2a2b963a2a	+
122:575|99df9a82-1bed-471f-af63-48fb30fff137	+
1231:1777|ee919234-3b03-41ea-bfe4-1228e031eff2	+
1246:1457|a48fd93a-84be-4bc1-b8a7-bc2740b59d25	+
1249:1827|fe1127e3-439f-4f65-ac61-195dafca1097	+
1268:2347|dabaa3af-221e-452b-8440-1d3df2f9b1df	+
129:606|76a963ce-424a-4216-803c-6af739029f1e	+
1305:2607|f7c1c574-b7e3-48cd-a8b6-d383d904ca4d	-
130:920|00c67e19-f97d-410d-8355-5edea48e3bbb	+
1338:1829|73c070a7-1ab2-48cd-8079-295bd9138169	+
1348:3615|bf7f44ed-7b9c-413e-81fa-cf69f1d08082	+
135:2171|49b92589-362e-42c9-8856-28c8425a5486	+
1356:3836|9107a188-5055-5307-af2f-29a8344daf7e	-
136:585|728c0035-d998-4b0b-a1b1-a8dd50666567	-
136:607|93225d12-e639-4302-b63f-7a6fa7dfcf90	+
136:625|7298008d-f388-4794-a1c8-517ed1b1c9b7	+
1388:1813|68274c1e-bb4e-423c-bdb7-dd2fc19a7b40	+
1389:1841|4d0090f7-97c8-4ae6-bbe6-65fbca823398	+
1395:2191|96f3c31b-d253-478e-8423-2524557667e9	+
139:715|dd55de23-1dcb-4bf1-9da6-f7d5e2e5b9c0	+
1400:1786|5fb10f4d-7fb3-40f2-ac0a-6b9efa4109a9	+
1408:2495|79ff11e8-8c53-47f9-850e-5f15d1da59dd	+
141:1442|6e5b713f-eb65-43fe-b8fe-66a2ef71facc	-
141:576|5e6a28c1-e49d-41ab-9d1e-8f8c992f3bfd	-
1419:3452|afeb1a41-2d24-4e22-9df6-cf47b06ec6ed	+
1424:3382|7f1e017c-54de-58c6-b48e-2e24efac1c62	-
1427:2214|20dfda0f-c729-4b8d-958f-dca5071c641f	+
1430:1916|48f36f2e-5ecf-447d-b348-167e1ccd8fea	+
144:683|0154b113-290c-49fb-aca2-5b82cbfe1432	+
144:687|3dd2c5dd-b39c-4475-9904-3fb970b3d07a	+
146:681|fb1fbee6-6b2d-5feb-9ad8-6b837c2ff84c	+
1488:2283|ec5b8f43-d02b-4c26-933e-65193b946418	-
149:730|326ef99a-2a64-4114-8aac-35002537914b	+
150:1095|430435db-a2d5-4d36-bcca-19db6faad295	-
1503:4001|3a0f5cd3-5d6c-4b3a-b5fe-6a1b9eabf16a	-
150:727|f6ec0874-0185-4c7d-8b88-8cb89dabfd22	+
1511:3545|93377129-0977-4dd8-b9e7-fa28ff3ffa90	+
151:630|48783424-76b3-45dc-b172-f6df68af8ff7	-
152:2386|5a64a312-6976-466c-8270-0e4fcfc967ae	+
152:2625|826f53f4-f9e9-404f-bd02-05d8060f7cfb	-
152:689|b9c21697-0e0a-489f-aaea-005b1f5fb6a2	+
152:736|b1ce4c28-e03a-492e-a49b-37552bf2f02d	+
1531:2120|139bc1d7-f96a-441b-a3a2-1eb644b1678f	+
153:556|768c515b-1ecc-44cc-898d-2e74d4fd8d23	+
1542:2013|cc855039-a31e-4b59-a853-5588d8c1855e	+
1544:2330|7e051881-c140-4c50-b582-5eb7947ec30c	+
154:700|0f621448-d129-4b87-aec0-f5c1c586c6da	+
155:648|bd13e0dc-8050-4a5c-9f66-cdc8842cb278	+
1571:2037|ed876aad-7ca3-4976-8407-1da3bf7a3603	+
1573:2390|da35aaf3-e7ea-4dd2-b308-74ad4ecc2707	-
160:2402|8f51daf4-688f-493b-87af-c8c93702cdf7	-
1605:2057|aec8d679-892e-4e7d-b867-7e8591a73f0a	+
160:739|5b7e9d10-61d0-49ef-88b2-2d06d28469e4	+
161:2201|588b918f-e037-47d2-9326-ed60d7a22021	+
