Assembly,TP,FP,FN,Method,Tool
Bambu,119,41,0,Guided,Bambu
Bambu-noRef,68,13,43,De novo,Bambu
Control,106,4567,9,RawReads,RawReads
FLAIR,82,30,35,Guided,FLAIR
FLAIR-noRef,64,332,34,De novo,FLAIR
FLAMES,48,0,71,Guided,FLAMES
isONclust2,49,17,58,Ab initio,isONclust2
isONclust,64,24,39,Ab initio,isONclust
isONpipeline,74,52,38,Ab initio,isONpipeline
isoQuant,98,5,21,Guided,isoQuant
isoQuant-noRef,59,8,57,De novo,isoQuant
Mandalorion,75,10,43,Guided,Mandalorion
RATTLE,40,28,62,Ab initio,RATTLE
RNAbloom2,78,44,30,Ab initio,RNAbloom2
RNAbloom,71,45,31,Ab initio,RNAbloom
Stringtie2,98,14,20,Guided,Stringtie2
Stringtie2-noRef,81,25,27,De novo,Stringtie2
TALON,90,87,27,Guided,TALON
TALON_reco,91,37,28,Guided,TALON
