Assembly,TP,FP,FN,Method,Tool
Bambu,141,35,0,Guided,Bambu
Bambu-noRef,23,10,110,De novo,Bambu
Control,136,2124,4,RawReads,RawReads
FLAIR,61,12,74,Guided,FLAIR
FLAIR-noRef,99,160,24,De novo,FLAIR
FLAMES,53,0,88,Guided,FLAMES
isONclust2,84,10,50,Ab initio,isONclust2
isONclust,94,15,40,Ab initio,isONclust
isONpipeline,108,46,20,Ab initio,isONpipeline
isoQuant,31,7,104,Guided,isoQuant
isoQuant-noRef,31,7,104,De novo,isoQuant
Mandalorion,112,5,29,Guided,Mandalorion
RATTLE,67,25,59,Ab initio,RATTLE
RNAbloom2,98,42,29,Ab initio,RNAbloom2
RNAbloom,95,32,29,Ab initio,RNAbloom
Stringtie2,125,6,16,Guided,Stringtie2
Stringtie2-noRef,92,31,33,De novo,Stringtie2
TALON,128,108,7,Guided,TALON
TALON_reco,124,65,9,Guided,TALON
