Assembly,TP,FP,FN,Method,Tool
Bambu,136,28,0,Guided,Bambu
Bambu-noRef,76,34,47,De novo,Bambu
Control,113,17075,21,RawReads,RawReads
FLAIR,95,54,39,Guided,FLAIR
FLAIR-noRef,77,998,34,De novo,FLAIR
FLAMES,69,0,67,Guided,FLAMES
isONclust2,53,23,65,Ab initio,isONclust2
isONclust,66,44,50,Ab initio,isONclust
isONpipeline,89,146,39,Ab initio,isONpipeline
isoQuant,111,8,25,Guided,isoQuant
isoQuant-noRef,72,16,51,De novo,isoQuant
Mandalorion,98,12,38,Guided,Mandalorion
RATTLE,55,44,60,Ab initio,RATTLE
RNAbloom2,86,148,34,Ab initio,RNAbloom2
RNAbloom,83,116,33,Ab initio,RNAbloom
Stringtie2,110,11,25,Guided,Stringtie2
Stringtie2-noRef,94,34,30,De novo,Stringtie2
TALON,102,279,30,Guided,TALON
TALON_reco,101,104,32,Guided,TALON
