Subset;Assembly;TP;FP;FN;Precision;Sensitivity;Method;Tool;Dataset;Evaluator
ALL;Bambu;160;8;0;0.952380952380952;1;Guided;Bambu;LSK114_sequins;Average
ALL;Bambu-noRef;87.5;50;67;0.636363636363636;0.566343042071197;De novo;Bambu;LSK114_sequins;Average
ALL;Control;151;1065563;8;0.000141689046029235;0.949685534591195;RawReads;RawReads;LSK114_sequins;Average
ALL;isONclust;110;256;42;0.300546448087432;0.723684210526316;Ab initio;isONclust;LSK114_sequins;Average
ALL;isONclust2;110.5;47;40.5;0.701587301587302;0.731788079470199;Ab initio;isONclust2;LSK114_sequins;Average
ALL;isoQuant;136;5;24;0.964539007092199;0.85;Guided;isoQuant;LSK114_sequins;Average
ALL;isoQuant-noRef;84.5;58.5;64;0.590909090909091;0.569023569023569;De novo;isoQuant;LSK114_sequins;Average
ALL;Stringtie2;151.5;24;6.5;0.863247863247863;0.958860759493671;Guided;Stringtie2;LSK114_sequins;Average
ALL;Stringtie2-noRef;119.5;100;30;0.544419134396355;0.79933110367893;De novo;Stringtie2;LSK114_sequins;Average
Sub100k;Bambu;160;3;0;0.98159509202454;1;Guided;Bambu;LSK114_sequins;Average
Sub100k;Bambu-noRef;78.5;26;77.5;0.751196172248804;0.503205128205128;De novo;Bambu;LSK114_sequins;Average
Sub100k;Control;109.5;24792;47.5;0.00439732546232155;0.697452229299363;RawReads;RawReads;LSK114_sequins;Average
Sub100k;isONclust;74.5;57;76;0.566539923954373;0.495016611295681;Ab initio;isONclust;LSK114_sequins;Average
Sub100k;isONclust2;60.5;20;91;0.751552795031056;0.399339933993399;Ab initio;isONclust2;LSK114_sequins;Average
Sub100k;isoQuant;115;3;45;0.974576271186441;0.71875;Guided;isoQuant;LSK114_sequins;Average
Sub100k;isoQuant-noRef;70;12.5;86.5;0.848484848484849;0.447284345047923;De novo;isoQuant;LSK114_sequins;Average
Sub100k;Stringtie2;111.5;9.5;48;0.921487603305785;0.699059561128527;Guided;Stringtie2;LSK114_sequins;Average
Sub100k;Stringtie2-noRef;89.5;28.5;66.5;0.758474576271186;0.573717948717949;De novo;Stringtie2;LSK114_sequins;Average
Sub10k;Bambu;160;0;0;1;1;Guided;Bambu;LSK114_sequins;Average
Sub10k;Bambu-noRef;51;6.5;107.5;0.88695652173913;0.321766561514196;De novo;Bambu;LSK114_sequins;Average
Sub10k;Control;87.5;2535;71.5;0.0333651096282174;0.550314465408805;RawReads;RawReads;LSK114_sequins;Average
Sub10k;isONclust;59;12;98;0.830985915492958;0.375796178343949;Ab initio;isONclust;LSK114_sequins;Average
Sub10k;isONclust2;56.5;9;100;0.862595419847328;0.361022364217252;Ab initio;isONclust2;LSK114_sequins;Average
Sub10k;isoQuant;83;0;77;1;0.51875;Guided;isoQuant;LSK114_sequins;Average
Sub10k;isoQuant-noRef;48;2;111;0.96;0.30188679245283;De novo;isoQuant;LSK114_sequins;Average
Sub10k;Stringtie2;79;8.5;79.5;0.902857142857143;0.498422712933754;Guided;Stringtie2;LSK114_sequins;Average
Sub10k;Stringtie2-noRef;59;17;97;0.776315789473684;0.378205128205128;De novo;Stringtie2;LSK114_sequins;Average
Sub150k;Bambu;160;4;0;0.975609756097561;1;Guided;Bambu;LSK114_sequins;Average
Sub150k;Bambu-noRef;76;32;78.5;0.703703703703704;0.491909385113269;De novo;Bambu;LSK114_sequins;Average
Sub150k;Control;111.5;37322.5;45.5;0.00297857562643586;0.710191082802548;RawReads;RawReads;LSK114_sequins;Average
Sub150k;isONclust;78.5;63;73;0.554770318021201;0.518151815181518;Ab initio;isONclust;LSK114_sequins;Average
Sub150k;isONclust2;62.5;22.5;88.5;0.735294117647059;0.413907284768212;Ab initio;isONclust2;LSK114_sequins;Average
Sub150k;isoQuant;117;1.5;43;0.987341772151899;0.73125;Guided;isoQuant;LSK114_sequins;Average
Sub150k;isoQuant-noRef;72.5;14.5;83.5;0.833333333333333;0.46474358974359;De novo;isoQuant;LSK114_sequins;Average
Sub150k;Stringtie2;114.5;6;45;0.950207468879668;0.717868338557994;Guided;Stringtie2;LSK114_sequins;Average
Sub150k;Stringtie2-noRef;91.5;34.5;64.5;0.726190476190476;0.586538461538462;De novo;Stringtie2;LSK114_sequins;Average
Sub1k;Bambu;160;0;0;1;1;Guided;Bambu;LSK114_sequins;Average
Sub1k;Bambu-noRef;35.5;5;124;0.876543209876543;0.22257053291536;De novo;Bambu;LSK114_sequins;Average
Sub1k;Control;57;257.5;103;0.181240063593005;0.35625;RawReads;RawReads;LSK114_sequins;Average
Sub1k;isONclust;42.5;5;116;0.894736842105263;0.26813880126183;Ab initio;isONclust;LSK114_sequins;Average
Sub1k;isONclust2;42;4;116.5;0.91304347826087;0.264984227129338;Ab initio;isONclust2;LSK114_sequins;Average
Sub1k;isoQuant;52;0;108;1;0.325;Guided;isoQuant;LSK114_sequins;Average
Sub1k;isoQuant-noRef;25;2;134.5;0.925925925925926;0.156739811912226;De novo;isoQuant;LSK114_sequins;Average
Sub1k;Stringtie2;49;4;110.5;0.924528301886792;0.307210031347962;Guided;Stringtie2;LSK114_sequins;Average
Sub1k;Stringtie2-noRef;35;8;122.5;0.813953488372093;0.222222222222222;De novo;Stringtie2;LSK114_sequins;Average
Sub1M;Bambu;160;9;0;0.946745562130177;1;Guided;Bambu;LSK114_sequins;Average
Sub1M;Bambu-noRef;83.5;55.5;68.5;0.600719424460432;0.549342105263158;De novo;Bambu;LSK114_sequins;Average
Sub1M;Control;136.5;249549;22;0.000546687733168326;0.861198738170347;RawReads;RawReads;LSK114_sequins;Average
Sub1M;isONclust;99;133;54;0.426724137931034;0.647058823529412;Ab initio;isONclust;LSK114_sequins;Average
Sub1M;isONclust2;85;27;65.5;0.758928571428571;0.564784053156146;Ab initio;isONclust2;LSK114_sequins;Average
Sub1M;isoQuant;137;8;23;0.944827586206897;0.85625;Guided;isoQuant;LSK114_sequins;Average
Sub1M;isoQuant-noRef;89;33.5;64;0.726530612244898;0.581699346405229;De novo;isoQuant;LSK114_sequins;Average
Sub1M;Stringtie2;132;21.5;25.5;0.859934853420195;0.838095238095238;Guided;Stringtie2;LSK114_sequins;Average
Sub1M;Stringtie2-noRef;105;76;47;0.580110497237569;0.690789473684211;De novo;Stringtie2;LSK114_sequins;Average
Sub250k;Bambu;160;7;0;0.958083832335329;1;Guided;Bambu;LSK114_sequins;Average
Sub250k;Bambu-noRef;77;36.5;77;0.6784140969163;0.5;De novo;Bambu;LSK114_sequins;Average
Sub250k;Control;122;62380;34;0.00195193753799878;0.782051282051282;RawReads;RawReads;LSK114_sequins;Average
Sub250k;isONclust;87.5;77.5;64;0.53030303030303;0.577557755775578;Ab initio;isONclust;LSK114_sequins;Average
Sub250k;isONclust2;74;24.5;78;0.751269035532995;0.486842105263158;Ab initio;isONclust2;LSK114_sequins;Average
Sub250k;isoQuant;124;2.5;36;0.980237154150198;0.775;Guided;isoQuant;LSK114_sequins;Average
Sub250k;isoQuant-noRef;73.5;17;82.5;0.812154696132597;0.471153846153846;De novo;isoQuant;LSK114_sequins;Average
Sub250k;Stringtie2;121;10;38;0.923664122137405;0.761006289308176;Guided;Stringtie2;LSK114_sequins;Average
Sub250k;Stringtie2-noRef;93.5;41.5;61;0.692592592592593;0.605177993527508;De novo;Stringtie2;LSK114_sequins;Average
Sub2M;Bambu;160;8;0;0.952380952380952;1;Guided;Bambu;LSK114_sequins;Average
Sub2M;Bambu-noRef;89;47;65;0.654411764705882;0.577922077922078;De novo;Bambu;LSK114_sequins;Average
Sub2M;Control;145.5;499781.5;12.5;0.000291042492203862;0.920886075949367;RawReads;RawReads;LSK114_sequins;Average
Sub2M;isONclust;109.5;186;43;0.370558375634518;0.718032786885246;Ab initio;isONclust;LSK114_sequins;Average
Sub2M;isONclust2;92.5;36;54.5;0.719844357976654;0.629251700680272;Ab initio;isONclust2;LSK114_sequins;Average
Sub2M;isoQuant;140;11;20;0.927152317880795;0.875;Guided;isoQuant;LSK114_sequins;Average
Sub2M;isoQuant-noRef;88.5;32.5;63.5;0.731404958677686;0.582236842105263;De novo;isoQuant;LSK114_sequins;Average
