Assembly,TP,FP,FN,Method,Tool
Bambu-noRef,66,32,89,De novo,Bambu
Bambu,160,2,0,Guided,Bambu
FLAIR-noRef,79,1371,59,De novo,FLAIR
FLAIR,101,27,56,Guided,FLAIR
FLAMES,57,0,103,Guided,FLAMES
isONclust,103,150,44,Ab initio,isONclust
isoQuant-noRef,68,11,85,De novo,isoQuant
isoQuant,118,1,42,Guided,isoQuant
RATTLE,64,57,89,Ab initio,RATTLE
RNAbloom2,99,523,57,Ab initio,RNAbloom2
RNAbloom,104,497,49,Ab initio,RNAbloom
Stringtie2-noRef,78,83,59,De novo,Stringtie2
Stringtie2,111,21,43,Guided,Stringtie2
TALON_reco,96,129,64,Guided,TALON
TALON,101,356,59,Guided,TALON
