Sequin	MixA	Type	Transcript	Classcode1	Classcode2	TPM	nbReads
R1_101_1	11.3297	TP	R1_101_1	full-splice_match	reference_match	565.402037	81.000
R1_101_2	3.7766	TP	R1_101_2	full-splice_match	reference_match	363.749730	20.000
R1_102_1	13.2179	TP	R1_102_1	full-splice_match	reference_match	406.578331	154.000
R1_102_2	1.8883	TP	R1_102_2	full-splice_match	reference_match	267.905604	91.000
R1_103_1	60.4248	TP	R1_103_1	full-splice_match	reference_match	4819.200247	2214.000
R1_103_2	906.3721	TP	R1_103_2	full-splice_match	reference_match	10210.586356	5009.000
R1_11_1	483.3985	TP	R1_11_1	full-splice_match	reference_match	44762.897569	6194.000
R1_11_2	1450.1954	TP	R1_11_2	full-splice_match	reference_match	75596.033368	12354.000
R1_12_1	0.4131	TP	R1_12_1	full-splice_match	reference_match	3.088441	1.000
R1_12_2	0.059	TP	R1_12_2	full-splice_match	reference_match	0.000000	0.000
R1_13_1	113.2965	TP	R1_13_1	full-splice_match	reference_match	831.028235	429.000
R1_13_2	7.5531	TP	R1_13_2	full-splice_match	reference_match	358.066143	49.000
R1_14_1	483.3984	TP	R1_14_1	full-splice_match	mono-exon	95919.222904	12130.000
R1_21_1	0.0553	TP	R1_21_1	full-splice_match	reference_match	0.000000	0.000
R1_21_2	0.0037	TP	R1_21_2	full-splice_match	reference_match	0.000000	0.000
R1_22_1	453.186	TP	R1_22_1	full-splice_match	reference_match	15243.053329	4279.000
R1_22_2	30.2124	TP	R1_22_2	full-splice_match	reference_match	14704.962411	3553.000
R1_23_1	26.4359	TP	R1_23_1	full-splice_match	reference_match	295.752041	130.000
R1_23_2	3.7766	TP	R1_23_2	full-splice_match	reference_match	168.605027	48.000
R1_24_1	0.059	TP	R1_24_1	full-splice_match	reference_match	0.000000	0.000
R1_31_1	211.4868	TP	R1_31_1	full-splice_match	reference_match	6165.159697	774.000
R1_31_2	30.2124	TP	R1_31_2	full-splice_match	reference_match	1157.657457	430.000
R1_32_1	56.6483	TP	R1_32_1	full-splice_match	reference_match	679.279043	144.000
R1_32_2	3.7766	TP	R1_32_2	full-splice_match	reference_match	601.927326	98.000
R1_33_1	60.4248	TP	R1_33_1	full-splice_match	reference_match	544.332261	351.000
R1_33_2	60.4248	TP	R1_33_2	full-splice_match	reference_match	1204.332024	284.000
R1_41_1	90.6372	TP	R1_41_1	full-splice_match	reference_match	3152.497662	182.000
R1_41_2	30.2124	TP	R1_41_2	full-splice_match	reference_match	300.783736	69.000
R1_42_1	0.2361	TP	R1_42_1	full-splice_match	reference_match	4.515514	1.000
R1_42_2	0.2361	TP	R1_42_2	full-splice_match	reference_match	0.000000	0.000
R1_43_1	0.118	TP	R1_43_1	full-splice_match	reference_match	0.000000	0.000
R1_43_2	0.8261	TP	R1_43_2	full-splice_match	reference_match	3.696365	3.000
R1_51_1	0.0148	TP	R1_51_1	full-splice_match	reference_match	0.000000	0.000
R1_51_2	0.0443	TP	R1_51_2	full-splice_match	reference_match	0.000000	0.000
R1_52_1	0.059	TP	R1_52_1	full-splice_match	reference_match	3.771599	1.000
R1_52_2	0.8851	TP	R1_52_2	full-splice_match	reference_match	13.053220	5.000
R1_53_1	0.236	TP	R1_53_1	full-splice_match	reference_match	3.771599	2.000
R1_61_1	1.8883	TP	R1_61_1	full-splice_match	reference_match	87.194246	11.000
R1_61_2	5.6648	TP	R1_61_2	full-splice_match	reference_match	206.763005	18.000
R1_62_1	2.8325	TP	R1_62_1	full-splice_match	reference_match	139.308409	30.000
R1_62_2	0.9442	TP	R1_62_2	full-splice_match	reference_match	69.469445	8.000
R1_63_1	0.2065	TP	R1_63_1	full-splice_match	reference_match	0.000000	0.000
R1_63_2	0.0295	TP	R1_63_2	full-splice_match	reference_match	0.000000	0.000
R1_71_1	3.7766	TP	R1_71_1	full-splice_match	reference_match	85.402111	15.000
R1_71_2	26.4359	TP	R1_71_2	full-splice_match	reference_match	463.539480	32.000
R1_72_1	0.6231	TP	R1_72_1	full-splice_match	reference_match	0.000000	0.000
R1_72_2	1.2652	TP	R1_72_2	full-splice_match	mono-exon	3.350816	1.000
R1_73_1	161.9385	TP	R1_73_1	full-splice_match	reference_match	5660.199411	2877.000
R1_73_2	79.7607	TP	R1_73_2	full-splice_match	reference_match	2973.288915	2375.000
R1_81_1	0.3163	TP	R1_81_1	full-splice_match	reference_match	5.123236	1.000
R1_81_2	0.1558	TP	R1_81_2	full-splice_match	reference_match	0.000000	0.000
R1_82_1	0.118	TP	R1_82_1	full-splice_match	reference_match	0.000000	0.000
R1_82_2	0.118	TP	R1_82_2	full-splice_match	reference_match	4.472333	1.000
R1_83_1	0.6325	TP	R1_83_1	full-splice_match	reference_match	2.341736	1.000
R1_83_2	0.3116	TP	R1_83_2	full-splice_match	reference_match	0.000000	0.000
R1_91_1	1.8883	TP	R1_91_1	full-splice_match	reference_match	101.440066	11.000
R1_91_2	28.3241	TP	R1_91_2	full-splice_match	reference_match	334.815097	72.000
R1_92_1	60.4248	TP	R1_92_1	full-splice_match	reference_match	2409.874762	1021.000
R1_92_2	60.4248	TP	R1_92_2	full-splice_match	reference_match	5257.213121	766.000
R1_93_1	0.059	TP	R1_93_1	full-splice_match	reference_match	0.000000	0.000
R1_93_2	0.059	TP	R1_93_2	full-splice_match	reference_match	0.000000	0.000
R2_105_1	0.118	TP	R2_105_1	full-splice_match	mono-exon	0.000000	0.000
R2_115_1	0.059	TP	R2_115_1	full-splice_match	reference_match	0.000000	0.000
R2_115_2	0.059	TP	R2_115_2	full-splice_match	reference_match	0.000000	0.000
R2_116_1	1.2463	TP	R2_116_1	full-splice_match	reference_match	39.681789	6.000
R2_116_2	1.2463	TP	R2_116_2	full-splice_match	reference_match	49.709833	7.000
R2_116_3	1.2463	TP	R2_116_3	full-splice_match	reference_match	176.731875	21.000
R2_117_1	30.2124	TP	R2_117_1	full-splice_match	reference_match	2037.275130	491.000
R2_117_3	30.2124	TP	R2_117_3	full-splice_match	reference_match	3199.680921	648.000
R2_140_1	60.4248	TP	R2_140_1	full-splice_match	mono-exon	1917.144284	407.000
R2_143_1	0.4721	TP	R2_143_1	full-splice_match	mono-exon	11.386948	2.000
R2_14_1	551.0742	TP	R2_14_1	full-splice_match	reference_match	24179.364223	6049.000
R2_14_2	280.3711	TP	R2_14_2	full-splice_match	reference_match	133372.098181	14096.000
R2_14_3	135.3516	TP	R2_14_3	full-splice_match	reference_match	31083.776868	6466.000
R2_150_1	483.3985	TP	R2_150_1	full-splice_match	reference_match	16835.490123	2597.000
R2_150_2	483.3985	TP	R2_150_2	full-splice_match	reference_match	6980.302666	3403.000
R2_151_1	0.642	TP	R2_151_1	full-splice_match	reference_match	18.053755	3.000
R2_151_2	0.6231	TP	R2_151_2	full-splice_match	reference_match	26.189981	6.000
R2_151_3	0.6231	TP	R2_151_3	full-splice_match	reference_match	13.527883	1.000
R2_152_1	0.0295	TP	R2_152_1	full-splice_match	reference_match	0.000000	0.000
R2_152_2	0.0885	TP	R2_152_2	full-splice_match	reference_match	0.000000	0.000
R2_153_1	0.5381	TP	R2_153_1	full-splice_match	reference_match	15.815206	2.000
R2_153_2	0.2738	TP	R2_153_2	full-splice_match	reference_match	9.743296	2.000
R2_153_3	0.1322	TP	R2_153_3	full-splice_match	reference_match	2.279769	1.000
R2_154_1	241.6992	TP	R2_154_1	full-splice_match	reference_match	6636.509503	1342.000
R2_154_2	1691.8946	TP	R2_154_2	full-splice_match	reference_match	78041.548112	13588.000
R2_19_1	4.985	TP	R2_19_1	full-splice_match	reference_match	88.787313	39.000
R2_19_2	10.1212	TP	R2_19_2	full-splice_match	reference_match	107.119486	219.000
R2_1_1	0.9441	TP	R2_1_1	full-splice_match	mono-exon	21.971460	5.000
R2_20_1	0.0295	TP	R2_20_1	full-splice_match	reference_match	0.000000	0.000
R2_20_2	0.4426	TP	R2_20_2	full-splice_match	reference_match	8.985584	3.000
R2_24_1	14.1621	TP	R2_24_1	full-splice_match	reference_match	57.369234	62.000
R2_24_2	0.9441	TP	R2_24_2	full-splice_match	reference_match	43.091376	36.000
R2_26_1	19.9402	TP	R2_26_1	full-splice_match	reference_match	465.312231	590.000
R2_26_2	40.4846	TP	R2_26_2	full-splice_match	reference_match	1949.661167	695.000
R2_27_1	0.4721	TP	R2_27_1	full-splice_match	reference_match	52.275411	32.000
R2_27_2	7.081	TP	R2_27_2	full-splice_match	reference_match	260.064062	68.000
R2_28_1	20.5444	TP	R2_28_1	full-splice_match	reference_match	1380.495982	315.000
R2_28_2	19.9402	TP	R2_28_2	full-splice_match	mono-exon	356.306877	250.000
R2_28_3	19.9402	TP	R2_28_3	full-splice_match	reference_match	1627.677873	177.000
R2_32_1	17.2211	TP	R2_32_1	full-splice_match	reference_match	625.084494	118.000
R2_32_2	8.7616	TP	R2_32_2	full-splice_match	reference_match	325.712960	98.000
R2_32_3	4.2297	TP	R2_32_3	full-splice_match	reference_match	193.216730	53.000
R2_33_1	0.059	TP	R2_33_1	full-splice_match	reference_match	0.000000	0.000
R2_37_1	0.0802	TP	R2_37_1	full-splice_match	reference_match	3.666011	1.000
R2_37_2	0.0779	TP	R2_37_2	full-splice_match	reference_match	0.000000	0.000
R2_37_3	0.0779	TP	R2_37_3	full-splice_match	reference_match	7.860138	2.000
R2_38_1	31.9043	TP	R2_38_1	full-splice_match	reference_match	3680.845751	651.000
R2_38_2	64.7754	TP	R2_38_2	full-splice_match	reference_match	22383.446815	3487.000
R2_38_3	128.584	TP	R2_38_3	full-splice_match	reference_match	20742.506939	3941.000
R2_38_4	258.1347	TP	R2_38_4	full-splice_match	reference_match	32271.245533	3184.000
R2_41_1	15.1062	TP	R2_41_1	full-splice_match	reference_match	848.937651	501.000
R2_41_2	226.593	TP	R2_41_2	full-splice_match	reference_match	20680.066728	2312.000
R2_42_1	164.3555	TP	R2_42_1	full-splice_match	reference_match	2798.951619	955.000
R2_42_2	159.5215	TP	R2_42_2	full-splice_match	reference_match	13741.656553	1700.000
R2_42_3	159.5215	TP	R2_42_3	full-splice_match	reference_match	15125.138994	1423.000
R2_45_1	0.997	TP	R2_45_1	full-splice_match	reference_match	234.874717	81.000
R2_45_2	2.0242	TP	R2_45_2	full-splice_match	reference_match	190.900914	94.000
R2_45_3	4.0182	TP	R2_45_3	full-splice_match	reference_match	202.578660	106.000
R2_45_4	8.0667	TP	R2_45_4	full-splice_match	reference_match	325.812644	146.000
R2_46_1	82.1777	TP	R2_46_1	full-splice_match	reference_match	3068.036342	1566.000
R2_46_2	79.7607	TP	R2_46_2	full-splice_match	reference_match	8292.057990	385.000
R2_46_3	79.7607	TP	R2_46_3	full-splice_match	reference_match	4434.558521	1020.000
R2_47_1	0.1106	TP	R2_47_1	full-splice_match	reference_match	0.898394	1.000
R2_47_2	0.0074	TP	R2_47_2	full-splice_match	reference_match	0.000000	0.000
R2_53_1	68.8843	TP	R2_53_1	full-splice_match	reference_match	7374.774736	3753.000
R2_53_2	35.0464	TP	R2_53_2	full-splice_match	reference_match	6464.663154	3434.000
R2_53_3	16.9189	TP	R2_53_3	full-splice_match	reference_match	6722.217673	2924.000
R2_54_1	0.0779	TP	R2_54_1	full-splice_match	reference_match	4.773967	4.000
R2_54_2	0.1581	TP	R2_54_2	full-splice_match	reference_match	0.000000	0.000
R2_55_2	1.4162	TP	R2_55_2	full-splice_match	reference_match	87.618549	11.000
R2_55_3	0.4721	TP	R2_55_3	full-splice_match	reference_match	49.229287	8.000
R2_57_1	0.9441	TP	R2_57_1	full-splice_match	reference_match	117.533846	41.000
R2_57_2	6.609	TP	R2_57_2	full-splice_match	reference_match	172.484068	50.000
R2_59_1	4.3053	TP	R2_59_1	full-splice_match	reference_match	30.325241	22.000
R2_59_2	2.1904	TP	R2_59_2	full-splice_match	reference_match	10.257938	7.000
R2_59_3	1.0574	TP	R2_59_3	full-splice_match	reference_match	39.300692	10.000
R2_60_1	5.0606	TP	R2_60_1	full-splice_match	reference_match	136.115306	39.000
R2_60_2	2.4925	TP	R2_60_2	full-splice_match	reference_match	104.759923	44.000
R2_63_1	0.9442	TP	R2_63_1	full-splice_match	reference_match	44.608219	18.000
R2_63_3	0.9442	TP	R2_63_3	full-splice_match	reference_match	42.516203	6.000
R2_65_1	966.7969	TP	R2_65_1	full-splice_match	mono-exon	54285.501758	10911.000
R2_67_1	3.7766	TP	R2_67_1	full-splice_match	reference_match	119.917494	10.000
R2_68_1	1.8883	TP	R2_68_1	full-splice_match	reference_match	11.845310	8.000
R2_68_2	1.8883	TP	R2_68_2	full-splice_match	reference_match	7.419258	4.000
R2_6_1	362.5488	TP	R2_6_1	full-splice_match	reference_match	10451.660353	945.000
R2_6_2	120.8496	TP	R2_6_2	full-splice_match	reference_match	3925.780288	289.000
R2_71_1	3.5406	TP	R2_71_1	full-splice_match	reference_match	44.794722	12.000
R2_71_2	0.236	TP	R2_71_2	full-splice_match	reference_match	0.000000	0.000
R2_72_1	127.6172	TP	R2_72_1	full-splice_match	reference_match	26998.400792	11455.000
R2_72_2	259.1016	TP	R2_72_2	full-splice_match	reference_match	25977.675450	12236.000
R2_72_3	514.336	TP	R2_72_3	full-splice_match	reference_match	34209.849990	16845.000
R2_72_4	1032.5391	TP	R2_72_4	full-splice_match	reference_match	37746.968958	13744.000
R2_73_1	0.236	TP	R2_73_1	full-splice_match	reference_match	14.151647	3.000
R2_73_2	1.6523	TP	R2_73_2	full-splice_match	reference_match	7.159086	7.000
R2_76_1	0.0201	TP	R2_76_1	full-splice_match	reference_match	0.000000	0.000
R2_76_2	0.0195	TP	R2_76_2	full-splice_match	reference_match	0.000000	0.000
R2_76_3	0.0195	TP	R2_76_3	full-splice_match	reference_match	0.000000	0.000
R2_7_1	241.6992	TP	R2_7_1	full-splice_match	reference_match	15875.549997	1867.000
R2_7_2	725.0977	TP	R2_7_2	full-splice_match	reference_match	6870.882974	3102.000
novel	0	FP	BambuTx2	antisense	multi-exon	23.895968	2.000
novel	0	FP	BambuTx3	antisense	multi-exon	0.000000	0.000
novel	0	FP	BambuTx4	antisense	multi-exon	0.000000	0.000
