Assembly,TP,FP,FN,Method,Tool
Bambu,139,38,2,Guided,Bambu
Bambu-noRef,22,11,119,De novo,Bambu
Control,57,34511,84,RawReads,RawReads
FLAIR,61,13,80,Guided,FLAIR
FLAIR-noRef,94,167,47,De novo,FLAIR
FLAMES,53,1,88,Guided,FLAMES
isONclust2,83,15,58,Ab initio,isONclust2
isONclust,90,32,51,Ab initio,isONclust
isONpipeline,115,28,26,Ab initio,isONpipeline
isoQuant,31,8,110,Guided,isoQuant
isoQuant-noRef,31,8,110,De novo,isoQuant
Mandalorion,112,8,29,Guided,Mandalorion
RATTLE,74,24,67,Ab initio,RATTLE
RNAbloom2,108,36,33,Ab initio,RNAbloom2
RNAbloom,104,29,37,Ab initio,RNAbloom
Stringtie2,125,7,16,Guided,Stringtie2
Stringtie2-noRef,27,102,114,De novo,Stringtie2
