Sequin	MixA	Type	Transcript	Classcode	TPM	nbReads
R1_101_1	11.3297	TP	R1_101_1	=	536.786829	81.000
R1_101_2	3.7766	TP	R1_101_2	=	345.340221	20.000
R1_102_1	13.2179	TP	R1_102_1	=	386.001250	154.000
R1_102_2	1.8883	TP	R1_102_2	=	254.346802	91.000
R1_103_1	60.4248	TP	R1_103_1	=	4575.298728	2214.000
R1_103_2	906.3721	TP	R1_103_2	=	9693.824778	5009.000
R1_11_1	483.3985	TP	R1_11_1	=	42497.430652	6194.000
R1_11_2	1450.1954	TP	R1_11_2	=	71770.089965	12354.000
R1_12_1	0.4131	TP	R1_12_1	=	2.932134	1.000
R1_13_1	113.2965	TP	R1_13_1	=	788.969586	429.000
R1_13_2	7.5531	TP	R1_13_2	=	339.944282	49.000
R1_14_1	483.3984	TP	R1_14_1	=	91064.715310	12130.000
R1_22_1	453.186	TP	R1_22_1	=	14471.596723	4279.000
R1_22_2	30.2124	TP	R1_22_2	=	13960.738786	3553.000
R1_23_1	26.4359	TP	R1_23_1	=	280.783920	130.000
R1_23_2	3.7766	TP	R1_23_2	=	160.071864	48.000
R1_31_1	211.4868	TP	R1_31_1	=	5853.138669	774.000
R1_31_2	30.2124	TP	R1_31_2	=	1099.067982	430.000
R1_32_1	56.6483	TP	R1_32_1	=	644.900478	144.000
R1_32_2	3.7766	TP	R1_32_2	=	571.463560	98.000
R1_33_1	60.4248	TP	R1_33_1	=	516.783403	351.000
R1_33_2	60.4248	TP	R1_33_2	=	1143.380331	284.000
R1_41_1	90.6372	TP	R1_41_1	=	2992.948581	182.000
R1_41_2	30.2124	TP	R1_41_2	=	285.560959	69.000
R1_43_2	0.8261	TP	R1_43_2	=	3.509291	3.000
R1_52_2	0.8851	TP	R1_52_2	=	14.871110	6.000
R1_61_1	1.8883	TP	R1_61_1	=	82.781313	11.000
R1_61_2	5.6648	TP	R1_61_2	=	196.298652	18.000
R1_62_1	2.8325	TP	R1_62_1	=	132.257959	30.000
R1_62_2	0.9442	TP	R1_62_2	=	65.953570	8.000
R1_71_1	3.7766	TP	R1_71_1	=	81.079879	15.000
R1_71_2	26.4359	TP	R1_71_2	=	440.079574	32.000
R1_72_1	0.6231	TP	R1_72_1	=	4.211466	1.000
R1_73_1	161.9385	TP	R1_73_1	=	5373.734611	2877.000
R1_73_2	79.7607	TP	R1_73_2	=	2822.809656	2375.000
R1_81_1	0.3163	TP	R1_81_1	=	4.863947	1.000
R1_91_1	1.8883	TP	R1_91_1	=	96.306147	11.000
R1_91_2	28.3241	TP	R1_91_2	=	317.869980	72.000
R1_92_1	60.4248	TP	R1_92_1	=	2287.910103	1021.000
R1_92_2	60.4248	TP	R1_92_2	=	4991.143607	766.000
R2_116_1	1.2463	TP	R2_116_1	=	37.673479	6.000
R2_116_2	1.2463	TP	R2_116_2	=	47.194000	7.000
R2_116_3	1.2463	TP	R2_116_3	=	167.787409	21.000
R2_117_1	30.2124	TP	R2_117_1	=	1934.167877	491.000
R2_117_3	30.2124	TP	R2_117_3	=	3037.743878	648.000
R2_140_1	60.4248	TP	R2_140_1	=	1820.116898	407.000
R2_14_1	551.0742	TP	R2_14_1	=	22955.637595	6049.000
R2_14_2	280.3711	TP	R2_14_2	=	126622.086620	14096.000
R2_14_3	135.3516	TP	R2_14_3	=	29510.615344	6466.000
R2_150_1	483.3985	TP	R2_150_1	=	15983.439698	2597.000
R2_150_2	483.3985	TP	R2_150_2	=	6627.026949	3403.000
R2_151_1	0.642	TP	R2_151_1	=	17.140048	3.000
R2_151_2	0.6231	TP	R2_151_2	=	24.864496	6.000
R2_151_3	0.6231	TP	R2_151_3	=	12.843231	1.000
R2_153_1	0.5381	TP	R2_153_1	=	15.014792	2.000
R2_153_3	0.1322	TP	R2_153_3	=	2.164389	1.000
R2_154_1	241.6992	TP	R2_154_1	=	6300.633286	1342.000
