Sequin	MixA	Type	Transcript	Classcode1	Classcode2	TPM	nbReads
R1_101_1	11.3297	TP	R1_101_1	full-splice_match	reference_match	908.454341	153.000
R1_101_2	3.7766	TP	R1_101_2	full-splice_match	reference_match	881.834049	57.000
R1_102_1	13.2179	TP	R1_102_1	full-splice_match	reference_match	202.118162	90.000
R1_102_2	1.8883	TP	R1_102_2	full-splice_match	reference_match	85.144901	34.000
R1_103_1	60.4248	TP	R1_103_1	full-splice_match	reference_match	1599.743751	864.000
R1_103_2	906.3721	TP	R1_103_2	full-splice_match	reference_match	5248.695714	3027.000
R1_11_1	483.3985	TP	R1_11_1	full-splice_match	reference_match	21810.716129	3548.000
R1_11_2	1450.1954	TP	R1_11_2	full-splice_match	reference_match	57381.241384	11024.000
R1_13_1	113.2965	TP	R1_13_1	full-splice_match	reference_match	1268.786463	770.000
R1_13_2	7.5531	TP	R1_13_2	full-splice_match	reference_match	665.105103	107.000
R1_14_1	483.3984	TP	R1_14_1	full-splice_match	mono-exon	119044.234164	17698.000
R1_22_1	453.186	TP	R1_22_1	full-splice_match	reference_match	4042.265510	1334.000
R1_22_2	30.2124	TP	R1_22_2	full-splice_match	reference_match	4583.729908	1302.000
R1_23_1	26.4359	TP	R1_23_1	full-splice_match	reference_match	149.009668	77.000
R1_23_2	3.7766	TP	R1_23_2	full-splice_match	reference_match	128.480454	43.000
R1_31_1	211.4868	TP	R1_31_1	full-splice_match	reference_match	8659.115803	1278.000
R1_31_2	30.2124	TP	R1_31_2	full-splice_match	reference_match	1834.355296	801.000
R1_32_1	56.6483	TP	R1_32_1	full-splice_match	reference_match	300.944431	75.000
R1_32_2	3.7766	TP	R1_32_2	full-splice_match	reference_match	245.558610	47.000
R1_33_1	60.4248	TP	R1_33_1	full-splice_match	reference_match	109.489979	83.000
R1_33_2	60.4248	TP	R1_33_2	full-splice_match	reference_match	2117.411754	587.000
R1_41_1	90.6372	TP	R1_41_1	full-splice_match	reference_match	3447.772223	234.000
R1_41_2	30.2124	TP	R1_41_2	full-splice_match	reference_match	771.272625	208.000
R1_52_2	0.8851	TP	R1_52_2	full-splice_match	reference_match	15.544796	7.000
R1_61_1	1.8883	TP	R1_61_1	full-splice_match	reference_match	74.169807	11.000
R1_61_2	5.6648	TP	R1_61_2	full-splice_match	reference_match	302.901447	31.000
R1_62_1	2.8325	TP	R1_62_1	full-splice_match	reference_match	86.899661	22.000
R1_62_2	0.9442	TP	R1_62_2	full-splice_match	reference_match	81.252335	11.000
R1_71_1	3.7766	TP	R1_71_1	full-splice_match	reference_match	271.209376	56.000
R1_71_2	26.4359	TP	R1_71_2	full-splice_match	reference_match	2057.749693	167.000
R1_72_1	0.6231	TP	R1_72_1	full-splice_match	reference_match	45.280311	12.000
R1_73_1	161.9385	TP	R1_73_1	full-splice_match	reference_match	19381.047925	11581.000
R1_73_2	79.7607	TP	R1_73_2	full-splice_match	reference_match	9642.758194	9055.000
R1_81_1	0.3163	TP	R1_81_1	full-splice_match	reference_match	8.715928	2.000
R1_82_1	0.118	TP	R1_82_1	full-splice_match	reference_match	2.421512	1.000
R1_91_1	1.8883	TP	R1_91_1	full-splice_match	reference_match	219.641395	28.000
R1_91_2	28.3241	TP	R1_91_2	full-splice_match	reference_match	680.362403	172.000
R1_92_1	60.4248	TP	R1_92_1	full-splice_match	reference_match	3714.323993	1850.000
R1_92_1	60.4248	TP	transcript88.chrIS.nic	incomplete-splice_match	5prime_fragment	1931.125609	138.000
