Assembly,TP,FP,FN,Method,Tool
Bambu,136,30,0,Guided,Bambu
Bambu-noRef,74,29,62,De novo,Bambu
Control,110,81218,26,RawReads,RawReads
FLAIR,98,31,38,Guided,FLAIR
FLAIR-noRef,80,1217,56,De novo,FLAIR
FLAMES,63,1,73,Guided,FLAMES
isONclust2,83,35,53,Ab initio,isONclust2
isONclust,97,130,39,Ab initio,isONclust
isONpipeline,86,217,50,Ab initio,isONpipeline
isoQuant,119,4,17,Guided,isoQuant
isoQuant-noRef,76,9,60,De novo,isoQuant
Mandalorion,88,23,48,Guided,Mandalorion
RATTLE,61,49,75,Ab initio,RATTLE
RNAbloom2,96,164,40,Ab initio,RNAbloom2
RNAbloom,102,135,34,Ab initio,RNAbloom
Stringtie2,111,29,25,Guided,Stringtie2
Stringtie2-noRef,81,61,55,De novo,Stringtie2
TALON,104,398,32,Guided,TALON
TALON_reco,99,134,37,Guided,TALON
