Sequin	MixA	Type	Transcript	Classcode1	Classcode2	TPM	nbReads
R1_101_1	11.3297	TP	STRG.47.1	full-splice_match	reference_match	702.404708	153.000
R1_101_2	3.7766	TP	STRG.47.2	full-splice_match	alternative_5end	483.338693	57.000
R1_102_1	13.2179	TP	STRG.45.1	full-splice_match	reference_match	152.633272	90.000
R1_102_2	1.8883	TP	STRG.45.2	full-splice_match	reference_match	66.113633	34.000
R1_103_1	60.4248	TP	STRG.43.1	full-splice_match	reference_match	1238.880140	864.000
R1_103_2	906.3721	TP	STRG.43.2	full-splice_match	reference_match	4050.307109	3027.000
R1_11_1	483.3985	TP	STRG.60.2	full-splice_match	reference_match	16674.605576	3555.000
R1_11_2	1450.1954	TP	STRG.60.1	full-splice_match	reference_match	43817.418408	11044.000
R1_13_1	113.2965	TP	STRG.46.1	full-splice_match	reference_match	984.609467	770.000
R1_13_2	7.5531	TP	STRG.46.2	full-splice_match	reference_match	516.443307	107.000
R1_22_1	453.186	TP	STRG.39.1	full-splice_match	reference_match	3094.972603	1334.000
R1_22_2	30.2124	TP	STRG.39.2	full-splice_match	reference_match	3501.642687	1302.000
R1_23_1	26.4359	TP	STRG.38.1	full-splice_match	reference_match	115.703587	77.000
R1_23_2	3.7766	TP	STRG.38.2	full-splice_match	reference_match	99.762985	43.000
R1_31_1	211.4868	TP	STRG.15.1	full-splice_match	reference_match	6674.940555	1278.000
R1_31_2	30.2124	TP	STRG.15.2	full-splice_match	reference_match	1461.639923	824.000
R1_32_1	56.6483	TP	STRG.17.1	full-splice_match	reference_match	233.006972	75.000
R1_32_2	3.7766	TP	STRG.17.2	full-splice_match	reference_match	189.959478	47.000
R1_33_2	60.4248	TP	STRG.16.1	full-splice_match	alternative_3end	3787.566370	536.000
R1_41_1	90.6372	TP	STRG.58.1	incomplete-splice_match	3prime_fragment	17160.446407	221.000
R1_41_1	90.6372	TP	STRG.58.3	full-splice_match	reference_match	2663.048915	234.000
R1_41_2	30.2124	TP	STRG.58.2	full-splice_match	reference_match	598.084279	208.000
R1_52_2	0.8851	TP	STRG.12.1	full-splice_match	reference_match	12.070281	7.000
R1_61_1	1.8883	TP	STRG.55.2	full-splice_match	reference_match	57.452540	11.000
R1_61_2	5.6648	TP	STRG.55.1	full-splice_match	reference_match	235.198053	31.000
R1_62_1	2.8325	TP	STRG.56.2	full-splice_match	reference_match	67.476175	22.000
R1_62_2	0.9442	TP	STRG.56.1	full-splice_match	alternative_3end5end	60.754411	22.000
