Assembly,TP,FP,FN,Method,Tool
Bambu,136,27,0,Guided,Bambu
Bambu-noRef,66,32,70,De novo,Bambu
Control,110,66500,26,RawReads,RawReads
FLAIR,100,31,36,Guided,FLAIR
FLAIR-noRef,81,1339,55,De novo,FLAIR
FLAMES,57,1,79,Guided,FLAMES
isONclust2,74,42,62,Ab initio,isONclust2
isONclust,107,167,29,Ab initio,isONclust
isoQuant,116,3,20,Guided,isoQuant
isoQuant-noRef,68,12,68,De novo,isoQuant
Mandalorion,72,57,64,Guided,Mandalorion
RATTLE,71,52,65,Ab initio,RATTLE
RNAbloom2,102,494,34,Ab initio,RNAbloom2
RNAbloom,106,496,30,Ab initio,RNAbloom
Stringtie2,108,25,28,Guided,Stringtie2
Stringtie2-noRef,74,86,62,De novo,Stringtie2
TALON,101,349,35,Guided,TALON
TALON_reco,96,125,40,Guided,TALON
