Assembly,TP,FP,FN,Method,Tool
Bambu,160,1,0,Guided,Bambu
Bambu-noRef,68,13,92,De novo,Bambu
FLAIR,82,32,78,Guided,FLAIR
FLAIR-noRef,65,313,95,De novo,FLAIR
FLAMES,48,1,112,Guided,FLAMES
RATTLE,54,31,106,Ab initio,RATTLE
RNAbloom,82,53,78,Ab initio,RNAbloom
RNAbloom2,82,54,78,Ab initio,RNAbloom2
Stringtie2,99,13,61,Guided,Stringtie2
Stringtie2-noRef,75,32,85,De novo,Stringtie2
TALON,90,89,70,Guided,TALON
TALON_reco,91,37,69,Guided,TALON
isONclust,79,41,81,Ab initio,isONclust
isONclust2,63,20,97,Ab initio,isONclust2
isoQuant,100,4,60,Guided,isoQuant
isoQuant-noRef,59,8,101,De novo,isoQuant
Mandalorion,74,12,86,Guided,Mandalorion
