Assembly;TP;FP;FN;Precision;Sensitivity;F1;Method;Tool;Dataset;Evaluator
Bambu;119;41;0;0.74375;1;0.853046594982079;Guided;Bambu;LSK114_sequins;GFFcompare
Bambu-noRef;68;13;43;0.839506172839506;0.612612612612613;0.708333333333333;De novo;Bambu;LSK114_sequins;GFFcompare
Control;106;4567;9;0.0226835009629788;0.921739130434783;0.0442773600668337;RawReads;RawReads;LSK114_sequins;GFFcompare
FLAIR;82;30;35;0.732142857142857;0.700854700854701;0.716157205240175;Guided;FLAIR;LSK114_sequins;GFFcompare
FLAIR-noRef;64;332;34;0.161616161616162;0.653061224489796;0.259109311740891;De novo;FLAIR;LSK114_sequins;GFFcompare
FLAMES;48;0;71;1;0.403361344537815;0.574850299401198;Guided;FLAMES;LSK114_sequins;GFFcompare
isONclust2;49;17;58;0.742424242424242;0.457943925233645;0.566473988439306;Ab initio;isONclust2;LSK114_sequins;GFFcompare
isONclust;64;24;39;0.727272727272727;0.621359223300971;0.670157068062827;Ab initio;isONclust;LSK114_sequins;GFFcompare
isoQuant;98;5;21;0.951456310679612;0.823529411764706;0.882882882882883;Guided;isoQuant;LSK114_sequins;GFFcompare
isoQuant-noRef;59;8;57;0.880597014925373;0.508620689655172;0.644808743169399;De novo;isoQuant;LSK114_sequins;GFFcompare
Mandalorion;75;10;43;0.882352941176471;0.635593220338983;0.738916256157635;Guided;Mandalorion;LSK114_sequins;GFFcompare
RATTLE;40;28;62;0.588235294117647;0.392156862745098;0.470588235294118;Ab initio;RATTLE;LSK114_sequins;GFFcompare
RNAbloom2;78;44;30;0.639344262295082;0.722222222222222;0.678260869565217;Ab initio;RNAbloom2;LSK114_sequins;GFFcompare
RNAbloom;71;45;31;0.612068965517241;0.696078431372549;0.651376146788991;Ab initio;RNAbloom;LSK114_sequins;GFFcompare
Stringtie2;98;14;20;0.875;0.830508474576271;0.852173913043478;Guided;Stringtie2;LSK114_sequins;GFFcompare
Stringtie2-noRef;81;25;27;0.764150943396226;0.75;0.757009345794393;De novo;Stringtie2;LSK114_sequins;GFFcompare
TALON;90;87;27;0.508474576271186;0.769230769230769;0.612244897959184;Guided;TALON;LSK114_sequins;GFFcompare
TALON_reco;91;37;28;0.7109375;0.764705882352941;0.736842105263158;Guided;TALON;LSK114_sequins;GFFcompare
Bambu;141;35;0;0.801136363636364;1;0.889589905362776;Guided;Bambu;LSK114_SIRVs;GFFcompare
Bambu-noRef;23;10;110;0.696969696969697;0.172932330827068;0.27710843373494;De novo;Bambu;LSK114_SIRVs;GFFcompare
Control;136;2124;4;0.0601769911504425;0.971428571428571;0.113333333333333;RawReads;RawReads;LSK114_SIRVs;GFFcompare
FLAIR;61;12;74;0.835616438356164;0.451851851851852;0.586538461538461;Guided;FLAIR;LSK114_SIRVs;GFFcompare
FLAIR-noRef;99;160;24;0.382239382239382;0.804878048780488;0.518324607329843;De novo;FLAIR;LSK114_SIRVs;GFFcompare
FLAMES;53;0;88;1;0.375886524822695;0.54639175257732;Guided;FLAMES;LSK114_SIRVs;GFFcompare
isONclust2;84;10;50;0.893617021276596;0.626865671641791;0.736842105263158;Ab initio;isONclust2;LSK114_SIRVs;GFFcompare
isONclust;94;15;40;0.862385321100917;0.701492537313433;0.773662551440329;Ab initio;isONclust;LSK114_SIRVs;GFFcompare
isoQuant;31;7;104;0.815789473684211;0.22962962962963;0.358381502890173;Guided;isoQuant;LSK114_SIRVs;GFFcompare
isoQuant-noRef;31;7;104;0.815789473684211;0.22962962962963;0.358381502890173;De novo;isoQuant;LSK114_SIRVs;GFFcompare
Mandalorion;112;5;29;0.957264957264957;0.794326241134752;0.868217054263566;Guided;Mandalorion;LSK114_SIRVs;GFFcompare
RATTLE;67;25;59;0.728260869565217;0.531746031746032;0.614678899082569;Ab initio;RATTLE;LSK114_SIRVs;GFFcompare
RNAbloom2;98;42;29;0.7;0.771653543307087;0.734082397003745;Ab initio;RNAbloom2;LSK114_SIRVs;GFFcompare
RNAbloom;95;32;29;0.748031496062992;0.766129032258065;0.756972111553785;Ab initio;RNAbloom;LSK114_SIRVs;GFFcompare
Stringtie2;125;6;16;0.954198473282443;0.886524822695035;0.919117647058823;Guided;Stringtie2;LSK114_SIRVs;GFFcompare
Stringtie2-noRef;92;31;33;0.747967479674797;0.736;0.741935483870968;De novo;Stringtie2;LSK114_SIRVs;GFFcompare
TALON;128;108;7;0.542372881355932;0.948148148148148;0.690026954177898;Guided;TALON;LSK114_SIRVs;GFFcompare
TALON_reco;124;65;9;0.656084656084656;0.932330827067669;0.770186335403727;Guided;TALON;LSK114_SIRVs;GFFcompare
Bambu;119;41;0;0.74375;1;0.853046594982079;Guided;Bambu;LSK114_sequins;SQANTI3
Bambu-noRef;68;12;51;0.85;0.571428571428571;0.683417085427136;De novo;Bambu;LSK114_sequins;SQANTI3
Control;93;15322;26;0.00603308465780084;0.781512605042017;0.0119737350328312;RawReads;RawReads;LSK114_sequins;SQANTI3
FLAIR;82;31;37;0.725663716814159;0.689075630252101;0.706896551724138;Guided;FLAIR;LSK114_sequins;SQANTI3
FLAIR-noRef;65;312;54;0.172413793103448;0.546218487394958;0.262096774193548;De novo;FLAIR;LSK114_sequins;SQANTI3
FLAMES;48;0;71;1;0.403361344537815;0.574850299401198;Guided;FLAMES;LSK114_sequins;SQANTI3
isONclust2;61;21;58;0.74390243902439;0.512605042016807;0.606965174129353;Ab initio;isONclust2;LSK114_sequins;SQANTI3
isONclust;77;42;42;0.647058823529412;0.647058823529412;0.647058823529412;Ab initio;isONclust;LSK114_sequins;SQANTI3
isoQuant;98;5;21;0.951456310679612;0.823529411764706;0.882882882882883;Guided;isoQuant;LSK114_sequins;SQANTI3
isoQuant-noRef;59;7;60;0.893939393939394;0.495798319327731;0.637837837837838;De novo;isoQuant;LSK114_sequins;SQANTI3
Mandalorion;74;11;45;0.870588235294118;0.621848739495798;0.725490196078431;Guided;Mandalorion;LSK114_sequins;SQANTI3
RATTLE;54;30;65;0.642857142857143;0.453781512605042;0.532019704433498;Ab initio;RATTLE;LSK114_sequins;SQANTI3
RNAbloom2;82;53;37;0.607407407407407;0.689075630252101;0.645669291338583;Ab initio;RNAbloom2;LSK114_sequins;SQANTI3
RNAbloom;82;52;37;0.611940298507463;0.689075630252101;0.648221343873518;Ab initio;RNAbloom;LSK114_sequins;SQANTI3
Stringtie2;97;14;22;0.873873873873874;0.815126050420168;0.843478260869565;Guided;Stringtie2;LSK114_sequins;SQANTI3
Stringtie2-noRef;75;31;44;0.707547169811321;0.630252100840336;0.666666666666667;De novo;Stringtie2;LSK114_sequins;SQANTI3
TALON;89;89;30;0.5;0.747899159663866;0.599326599326599;Guided;TALON;LSK114_sequins;SQANTI3
