Assembly,TP,FP,FN,Method,Tool
Bambu,174,3,2,Guided,Bambu
Bambu-noRef,22,11,154,De novo,Bambu
FLAIR,61,13,115,Guided,FLAIR
FLAIR-noRef,94,167,82,De novo,FLAIR
FLAMES,57,2,119,Guided,FLAMES
FLAMES-filt,53,1,123,Guided,FLAMES
RATTLE,74,24,102,Ab initio,RATTLE
RNAbloom,104,29,72,Ab initio,RNAbloom
RNAbloom2,108,36,68,Ab initio,RNAbloom2
Stringtie2,126,6,50,Guided,Stringtie2
Stringtie2-noRef,27,102,149,De novo,Stringtie2
isONclust,91,31,85,Ab initio,isONclust
isONclust2,84,14,92,Ab initio,isONclust2
isoQuant,31,8,145,Guided,isoQuant
isoQuant-noRef,31,8,145,De novo,isoQuant
