1000:1575|08058f99-8f79-43cd-b83a-37309efb7af0	+
1000:1599|deee947a-a5b4-499f-9403-bf1496841fa8	+
1000:1785|c70a92bf-44d7-4be9-a1ff-af930ededf24	-
1000:1827|bfbbc39e-8115-4ba2-bbec-136ac2b60556	+
1001:1513|d9f1c4ec-2cf4-4843-af16-5a914b24d1e1	-
100:1175|760db6eb-b59e-4a11-b8d7-b9e1cd5bedfc	+
1001:1823|1a1544a5-6b7d-4cd6-b1bd-7f95eba16d94	+
100:1200|9d3c0f0a-38fe-4b32-831a-ccc8b4ef9f05	+
100:1322|9b7d80a0-3893-4a33-a066-cc15f1c19064	+
100:1547|21bf7211-c9c7-4816-99ae-a82a58ecbc2e	-
100:1564|1179251f-24c1-471c-8ee4-898d10df82a0	-
100:2060|c2cef834-9582-4b5d-a78b-456ba1b274bf	-
1002:1609|2be6226a-8396-421c-a130-24a48cc48c3b	+
1002:1725|c757691c-3914-45f0-a0de-98ceb1b96d5e	+
1003:1593|54ba90e3-232b-4e30-b51c-ff00b293c0c8	+
1004:1268|09b8a9f8-64ea-4388-9ed8-48fe122a5bf0	+
1004:1803|a4829dac-28d5-4711-9b9b-91fa3dfe2137	+
1004:1841|1c9388a1-7a7f-462c-be82-e5ad207bde87	+
1004:1913|e8c79ad3-edf6-4147-8382-e718ab0bf32a	+
1004:2621|f143d69a-76aa-42c9-9fbe-2deb75047a46	+
100:448|141e81e0-bb78-475c-80eb-cb7fd887159e	+
1005:1997|4ba8b296-4b2d-4a6b-bd75-33c3b720a1f2	+
1006:1586|4c897d52-74c2-417a-97ce-80ac38bdb192	+
100:655|5dd0efa2-6512-40ab-85a1-05e4333dc46c	+
100:668|65119880-7182-48cd-ad95-a397c28e35f9	+
1007:1598|7f6a1b79-8b08-41cc-995f-6774ba89e913	+
1007:1832|cb091f38-7539-4f1c-b178-36880300d784	+
100:720|b5c2c905-5168-49a3-9d2c-dfe7125ebaf9	-
1007:2147|55bbaccb-e19d-49d4-a2c1-e34f6dcf6cef	+
100:745|c6e277d0-67df-40e0-8073-bf973813b362	+
100:777|2ea8653f-05b1-4e40-a077-9b8fbb3321ee	+
100:778|d79f5df9-c079-465f-8382-c337cc807776	+
1008:1789|58261bea-ddf8-4c91-beef-1972f1027738	+
100:827|f4ccaab8-e916-43e4-9d75-6e1212c17c5a	+
100:883|8ed0e217-b117-4810-8108-5e185268a6b2	-
100:889|aa0c534a-ca03-406b-bb9c-99fa947ff191	+
100:894|e3179332-6450-4c9a-a27b-e6b60971dda0	-
1009:1621|4abe0b7e-6dd0-4b03-a18c-c284a4a5a25a	+
