Sequin	MixA	Type	Transcript	Classcode1	Classcode2	TPM	nbReads
R1_101_1	11.3297	TP	R1_101_1	full-splice_match	reference_match	1016.465059	153.000
R1_101_2	3.7766	TP	R1_101_2	full-splice_match	reference_match	986.679746	57.000
R1_102_1	13.2179	TP	R1_102_1	full-splice_match	reference_match	226.149010	90.000
R1_102_2	1.8883	TP	R1_102_2	full-splice_match	reference_match	95.268208	34.000
R1_103_1	60.4248	TP	R1_103_1	full-splice_match	reference_match	1789.945352	864.000
R1_103_2	906.3721	TP	R1_103_2	full-splice_match	reference_match	5872.739616	3027.000
R1_11_1	483.3985	TP	R1_11_1	full-splice_match	reference_match	24452.049650	3555.000
R1_11_2	1450.1954	TP	R1_11_2	full-splice_match	reference_match	64244.354409	11031.000
R1_12_1	0.4131	TP	R1_12_1	full-splice_match	reference_match	0.000000	0.000
R1_12_2	0.059	TP	R1_12_2	full-splice_match	reference_match	0.000000	0.000
R1_13_1	113.2965	TP	R1_13_1	full-splice_match	reference_match	1419.638883	770.000
R1_13_2	7.5531	TP	R1_13_2	full-splice_match	reference_match	744.182802	107.000
R1_14_1	483.3984	TP	R1_14_1	full-splice_match	mono-exon	133198.003469	17698.000
R1_21_1	0.0553	TP	R1_21_1	full-splice_match	reference_match	0.000000	0.000
R1_21_2	0.0037	TP	R1_21_2	full-splice_match	reference_match	0.000000	0.000
R1_22_1	453.186	TP	R1_22_1	full-splice_match	reference_match	4522.870840	1334.000
R1_22_2	30.2124	TP	R1_22_2	full-splice_match	reference_match	5128.712671	1302.000
R1_23_1	26.4359	TP	R1_23_1	full-splice_match	reference_match	166.726179	77.000
R1_23_2	3.7766	TP	R1_23_2	full-splice_match	reference_match	143.756143	43.000
R1_24_1	0.059	TP	R1_24_1	full-splice_match	reference_match	0.000000	0.000
R1_31_1	211.4868	TP	R1_31_1	full-splice_match	reference_match	9688.641746	1278.000
R1_31_2	30.2124	TP	R1_31_2	full-splice_match	reference_match	2052.451047	801.000
R1_32_1	56.6483	TP	R1_32_1	full-splice_match	reference_match	336.725232	75.000
R1_32_2	3.7766	TP	R1_32_2	full-splice_match	reference_match	274.754311	47.000
R1_33_1	60.4248	TP	R1_33_1	full-splice_match	reference_match	122.507795	83.000
R1_33_2	60.4248	TP	R1_33_2	full-splice_match	reference_match	2369.161515	587.000
R1_41_1	90.6372	TP	R1_41_1	full-splice_match	reference_match	3857.695249	234.000
R1_41_2	30.2124	TP	R1_41_2	full-splice_match	reference_match	862.973116	208.000
R1_42_1	0.2361	TP	R1_42_1	full-splice_match	reference_match	0.000000	0.000
R1_42_2	0.2361	TP	R1_42_2	full-splice_match	reference_match	0.000000	0.000
R1_43_1	0.118	TP	R1_43_1	full-splice_match	reference_match	0.000000	0.000
R1_43_2	0.8261	TP	R1_43_2	full-splice_match	reference_match	0.000000	0.000
R1_51_1	0.0148	TP	R1_51_1	full-splice_match	reference_match	0.000000	0.000
R1_51_2	0.0443	TP	R1_51_2	full-splice_match	reference_match	0.000000	0.000
R1_52_1	0.059	TP	R1_52_1	full-splice_match	reference_match	0.000000	0.000
R1_52_2	0.8851	TP	R1_52_2	full-splice_match	reference_match	17.392995	7.000
R1_53_1	0.236	TP	R1_53_1	full-splice_match	reference_match	0.000000	0.000
R1_61_1	1.8883	TP	R1_61_1	full-splice_match	reference_match	82.988229	11.000
R1_61_2	5.6648	TP	R1_61_2	full-splice_match	reference_match	338.914928	31.000
R1_62_1	2.8325	TP	R1_62_1	full-splice_match	reference_match	97.231600	22.000
R1_62_2	0.9442	TP	R1_62_2	full-splice_match	reference_match	90.912835	11.000
R1_63_1	0.2065	TP	R1_63_1	full-splice_match	reference_match	0.000000	0.000
R1_63_2	0.0295	TP	R1_63_2	full-splice_match	reference_match	0.000000	0.000
R1_71_1	3.7766	TP	R1_71_1	full-splice_match	reference_match	303.454826	56.000
R1_71_2	26.4359	TP	R1_71_2	full-splice_match	reference_match	2302.405931	167.000
R1_72_1	0.6231	TP	R1_72_1	full-splice_match	reference_match	21.109965	5.000
R1_72_2	1.2652	TP	R1_72_2	full-splice_match	mono-exon	38.270184	12.000
R1_73_1	161.9385	TP	R1_73_1	full-splice_match	reference_match	21685.358445	11581.000
R1_73_2	79.7607	TP	R1_73_2	full-splice_match	reference_match	10789.234341	9055.000
R1_81_1	0.3163	TP	R1_81_1	full-splice_match	reference_match	9.752209	2.000
R1_81_2	0.1558	TP	R1_81_2	full-splice_match	reference_match	0.000000	0.000
R1_82_1	0.118	TP	R1_82_1	full-splice_match	reference_match	2.709418	1.000
R1_82_2	0.118	TP	R1_82_2	full-splice_match	reference_match	0.000000	0.000
R1_83_1	0.6325	TP	R1_83_1	full-splice_match	reference_match	0.000000	0.000
R1_83_2	0.3116	TP	R1_83_2	full-splice_match	reference_match	0.000000	0.000
R1_91_1	1.8883	TP	R1_91_1	full-splice_match	reference_match	245.755668	28.000
R1_91_2	28.3241	TP	R1_91_2	full-splice_match	reference_match	761.254120	172.000
R1_92_1	60.4248	TP	R1_92_1	full-splice_match	reference_match	4155.938702	1850.000
R1_92_2	60.4248	TP	R1_92_2	full-splice_match	reference_match	8426.460657	1290.000
R1_93_1	0.059	TP	R1_93_1	full-splice_match	reference_match	2.112428	1.000
R1_93_2	0.059	TP	R1_93_2	full-splice_match	reference_match	0.000000	0.000
R2_105_1	0.118	TP	R2_105_1	full-splice_match	mono-exon	0.000000	0.000
R2_115_1	0.059	TP	R2_115_1	full-splice_match	reference_match	0.000000	0.000
R2_115_2	0.059	TP	R2_115_2	full-splice_match	reference_match	0.000000	0.000
R2_116_1	1.2463	TP	R2_116_1	full-splice_match	reference_match	0.000000	0.000
R2_116_2	1.2463	TP	R2_116_2	full-splice_match	reference_match	0.000000	0.000
R2_116_3	1.2463	TP	R2_116_3	full-splice_match	reference_match	16.019696	2.000
R2_117_1	30.2124	TP	R2_117_1	full-splice_match	reference_match	1942.951536	492.000
R2_117_3	30.2124	TP	R2_117_3	full-splice_match	reference_match	2575.377505	548.000
R2_140_1	60.4248	TP	R2_140_1	full-splice_match	mono-exon	399.005673	89.000
R2_143_1	0.4721	TP	R2_143_1	full-splice_match	mono-exon	10.837672	2.000
R2_14_1	551.0742	TP	R2_14_1	full-splice_match	reference_match	26334.286817	6922.000
R2_14_2	280.3711	TP	R2_14_2	full-splice_match	reference_match	170371.106189	18919.000
R2_14_3	135.3516	TP	R2_14_3	full-splice_match	reference_match	24697.877733	5398.000
R2_150_1	483.3985	TP	R2_150_1	full-splice_match	reference_match	17553.541850	2845.000
R2_150_2	483.3985	TP	R2_150_2	full-splice_match	reference_match	5956.390828	3051.000
R2_151_1	0.642	TP	R2_151_1	full-splice_match	reference_match	28.638151	5.000
R2_151_2	0.6231	TP	R2_151_2	full-splice_match	reference_match	20.772205	5.000
R2_151_3	0.6231	TP	R2_151_3	full-splice_match	reference_match	51.501335	4.000
R2_152_1	0.0295	TP	R2_152_1	full-splice_match	reference_match	0.000000	0.000
R2_152_2	0.0885	TP	R2_152_2	full-splice_match	reference_match	0.000000	0.000
R2_153_1	0.5381	TP	R2_153_1	full-splice_match	reference_match	37.630807	5.000
R2_153_2	0.2738	TP	R2_153_2	full-splice_match	reference_match	41.729877	9.000
R2_153_3	0.1322	TP	R2_153_3	full-splice_match	reference_match	13.018792	6.000
R2_154_1	241.6992	TP	R2_154_1	full-splice_match	reference_match	9535.760162	2026.000
R2_154_2	1691.8946	TP	R2_154_2	full-splice_match	reference_match	58227.771506	10652.000
R2_19_1	4.985	TP	R2_19_1	full-splice_match	reference_match	78.004109	36.000
R2_19_2	10.1212	TP	R2_19_2	full-splice_match	reference_match	14.897144	32.000
R2_1_1	0.9441	TP	R2_1_1	full-splice_match	mono-exon	33.458586	8.000
R2_20_1	0.0295	TP	R2_20_1	full-splice_match	reference_match	0.000000	0.000
R2_20_2	0.4426	TP	R2_20_2	full-splice_match	reference_match	14.253572	5.000
R2_24_1	14.1621	TP	R2_24_1	full-splice_match	reference_match	81.902844	93.000
R2_24_2	0.9441	TP	R2_24_2	full-splice_match	reference_match	90.000231	79.000
R2_26_1	19.9402	TP	R2_26_1	full-splice_match	reference_match	78.064660	104.000
R2_26_2	40.4846	TP	R2_26_2	full-splice_match	reference_match	485.930768	182.000
R2_27_1	0.4721	TP	R2_27_1	full-splice_match	reference_match	69.966260	45.000
R2_27_2	7.081	TP	R2_27_2	full-splice_match	reference_match	265.719217	73.000
R2_28_1	20.5444	TP	R2_28_1	full-splice_match	reference_match	1993.798034	478.000
R2_28_2	19.9402	TP	R2_28_2	full-splice_match	mono-exon	203.471754	150.000
R2_28_3	19.9402	TP	R2_28_3	full-splice_match	reference_match	2179.331088	249.000
R2_32_1	17.2211	TP	R2_32_1	full-splice_match	reference_match	2137.722109	424.000
R2_32_2	8.7616	TP	R2_32_2	full-splice_match	reference_match	490.308401	155.000
R2_32_3	4.2297	TP	R2_32_3	full-splice_match	reference_match	239.412390	69.000
R2_33_1	0.059	TP	R2_33_1	full-splice_match	reference_match	0.000000	0.000
R2_37_1	0.0802	TP	R2_37_1	full-splice_match	reference_match	3.489172	1.000
R2_37_2	0.0779	TP	R2_37_2	full-splice_match	reference_match	1.608586	1.000
