Assembly;Step;Value
Bambu;Alignment;21.08847333
FLAIR;Alignment;0
FLAMES;Alignment;0
isoQuant;Alignment;0
Stringtie2;Alignment;21.08847333
TALON;Alignment;20.852
TALON_reco;Alignment;12.22288667
Bambu;Pre-process;0.006166667
FLAIR;Pre-process;0
FLAMES;Pre-process;0
isoQuant;Pre-process;0
Stringtie2;Pre-process;0.202448333
TALON;Pre-process;0.336206667
TALON_reco;Pre-process;21.14120833
Bambu;Assembler;0.2175
FLAIR;Assembler;38.30078833
FLAMES;Assembler;21.41547333
isoQuant;Assembler;23.38410333
Stringtie2;Assembler;0.02232
TALON;Assembler;2.496853333
TALON_reco;Assembler;2.09048
Bambu;Post-process;0.072166667
FLAIR;Post-process;0
FLAMES;Post-process;0
isoQuant;Post-process;0
Stringtie2;Post-process;0
TALON;Post-process;0.014796667
TALON_reco;Post-process;0.015455
