Sequin	MixA	Type	Transcript	Classcode	TPM	nbReads
R1_101_1	11.3297	TP	R1_101_1	=	908.454341	153.000
R1_101_2	3.7766	TP	R1_101_2	=	881.834049	57.000
R1_102_1	13.2179	TP	R1_102_1	=	202.118162	90.000
R1_102_2	1.8883	TP	R1_102_2	=	85.144901	34.000
R1_103_1	60.4248	TP	R1_103_1	=	1599.743751	864.000
R1_103_2	906.3721	TP	R1_103_2	=	5248.695714	3027.000
R1_11_1	483.3985	TP	R1_11_1	=	21810.716129	3548.000
R1_11_2	1450.1954	TP	R1_11_2	=	57381.241384	11024.000
R1_13_1	113.2965	TP	R1_13_1	=	1268.786463	770.000
R1_13_2	7.5531	TP	R1_13_2	=	665.105103	107.000
R1_14_1	483.3984	TP	R1_14_1	=	119044.234164	17698.000
R1_22_1	453.186	TP	R1_22_1	=	4042.265510	1334.000
R1_22_2	30.2124	TP	R1_22_2	=	4583.729908	1302.000
R1_23_1	26.4359	TP	R1_23_1	=	149.009668	77.000
R1_23_2	3.7766	TP	R1_23_2	=	128.480454	43.000
R1_31_1	211.4868	TP	R1_31_1	=	8659.115803	1278.000
R1_31_2	30.2124	TP	R1_31_2	=	1834.355296	801.000
R1_32_1	56.6483	TP	R1_32_1	=	300.944431	75.000
R1_32_2	3.7766	TP	R1_32_2	=	245.558610	47.000
R1_33_1	60.4248	TP	R1_33_1	=	109.489979	83.000
R1_33_2	60.4248	TP	R1_33_2	=	2117.411754	587.000
R1_41_1	90.6372	TP	R1_41_1	=	3447.772223	234.000
R1_41_2	30.2124	TP	R1_41_2	=	771.272625	208.000
R1_52_2	0.8851	TP	R1_52_2	=	15.544796	7.000
R1_61_1	1.8883	TP	R1_61_1	=	74.169807	11.000
R1_61_2	5.6648	TP	R1_61_2	=	302.901447	31.000
R1_62_1	2.8325	TP	R1_62_1	=	86.899661	22.000
R1_62_2	0.9442	TP	R1_62_2	=	81.252335	11.000
R1_71_1	3.7766	TP	R1_71_1	=	271.209376	56.000
R1_71_2	26.4359	TP	R1_71_2	=	2057.749693	167.000
R1_72_1	0.6231	TP	R1_72_1	=	45.280311	12.000
R1_73_1	161.9385	TP	R1_73_1	=	19381.047925	11581.000
R1_73_2	79.7607	TP	R1_73_2	=	9642.758194	9055.000
R1_81_1	0.3163	TP	R1_81_1	=	8.715928	2.000
R1_82_1	0.118	TP	R1_82_1	=	2.421512	1.000
R1_91_1	1.8883	TP	R1_91_1	=	219.641395	28.000
R1_91_2	28.3241	TP	R1_91_2	=	680.362403	172.000
R1_92_1	60.4248	TP	R1_92_1	=	3714.323993	1850.000
R1_92_2	60.4248	TP	R1_92_2	=	7531.055492	1290.000
R2_116_3	1.2463	TP	R2_116_3	=	14.317425	2.000
R2_117_1	30.2124	TP	R2_117_1	=	1736.491326	492.000
R2_117_3	30.2124	TP	R2_117_3	=	2301.715001	548.000
R2_140_1	60.4248	TP	R2_140_1	=	356.606882	89.000
R2_14_1	551.0742	TP	R2_14_1	=	23532.575781	6921.000
R2_14_2	280.3711	TP	R2_14_2	=	152267.281279	18919.000
R2_14_3	135.3516	TP	R2_14_3	=	22073.453532	5398.000
R2_150_1	483.3985	TP	R2_150_1	=	15688.282797	2845.000
R2_150_2	483.3985	TP	R2_150_2	=	5323.458056	3051.000
R2_151_1	0.642	TP	R2_151_1	=	25.595029	5.000
R2_151_2	0.6231	TP	R2_151_2	=	18.564928	5.000
R2_151_3	0.6231	TP	R2_151_3	=	46.028746	4.000
R2_153_1	0.5381	TP	R2_153_1	=	33.632115	5.000
R2_153_3	0.1322	TP	R2_153_3	=	11.635400	6.000
R2_154_1	241.6992	TP	R2_154_1	=	8522.479588	2026.000
R2_154_2	1691.8946	TP	R2_154_2	=	52040.423171	10652.000
R2_19_1	4.985	TP	R2_19_1	=	69.715305	36.000
R2_19_2	10.1212	TP	R2_19_2	=	13.314157	32.000
R2_1_1	0.9441	TP	R2_1_1	=	29.903239	8.000
R2_20_2	0.4426	TP	R2_20_2	=	12.738971	5.000
R2_24_1	14.1621	TP	R2_24_1	=	73.199756	93.000
R2_26_1	19.9402	TP	R2_26_1	=	69.769421	104.000
R2_26_2	40.4846	TP	R2_26_2	=	434.295219	182.000
R2_27_1	0.4721	TP	R2_27_1	=	62.531567	45.000
R2_27_2	7.081	TP	R2_27_2	=	237.483594	73.000
R2_28_1	20.5444	TP	R2_28_1	=	1781.934818	478.000
R2_28_2	19.9402	TP	R2_28_2	=	181.850617	150.000
R2_28_3	19.9402	TP	R2_28_3	=	1947.752921	249.000
R2_32_1	17.2211	TP	R2_32_1	=	1910.565359	424.000
R2_32_2	8.7616	TP	R2_32_2	=	438.207681	155.000
R2_32_3	4.2297	TP	R2_32_3	=	213.972161	69.000
R2_37_1	0.0802	TP	R2_37_1	=	3.118409	1.000
R2_37_2	0.0779	TP	R2_37_2	=	1.437656	1.000
R2_37_3	0.0779	TP	R2_37_3	=	3.343024	1.000
R2_38_1	31.9043	TP	R2_38_1	=	3414.792370	710.000
R2_38_2	64.7754	TP	R2_38_2	=	28464.402085	5213.000
R2_38_3	128.584	TP	R2_38_3	=	28017.520083	6258.000
R2_38_4	258.1347	TP	R2_38_4	=	42064.217138	4879.000
R2_41_1	15.1062	TP	R2_41_1	=	514.571359	357.000
R2_41_2	226.593	TP	R2_41_2	=	26523.498800	3486.000
R2_42_1	164.3555	TP	R2_42_1	=	3497.752011	1403.000
R2_42_2	159.5215	TP	R2_42_2	=	19156.254781	2786.000
R2_42_3	159.5215	TP	R2_42_3	=	21328.570021	2359.000
R2_45_1	0.997	TP	R2_45_1	=	110.994917	45.000
R2_45_2	2.0242	TP	R2_45_2	=	96.740317	56.000
R2_45_3	4.0182	TP	R2_45_3	=	126.800730	78.000
R2_45_4	8.0667	TP	R2_45_4	=	203.113215	107.000
R2_46_1	82.1777	TP	R2_46_1	=	1233.217803	740.000
R2_46_2	79.7607	TP	R2_46_2	=	4800.010821	262.000
R2_46_3	79.7607	TP	R2_46_3	=	1900.871073	514.000
R2_53_1	68.8843	TP	R2_53_1	=	2940.189743	1759.000
R2_53_2	35.0464	TP	R2_53_2	=	2821.570056	1762.000
R2_53_3	16.9189	TP	R2_53_3	=	2794.516999	1429.000
R2_54_1	0.0779	TP	R2_54_1	=	7.106516	7.000
R2_55_2	1.4162	TP	R2_55_2	=	47.428647	7.000
R2_57_1	0.9441	TP	R2_57_1	=	75.592743	31.000
R2_57_2	6.609	TP	R2_57_2	=	223.013882	76.000
R2_59_1	4.3053	TP	R2_59_1	=	34.003130	29.000
R2_59_2	2.1904	TP	R2_59_2	=	12.465260	10.000
R2_59_3	1.0574	TP	R2_59_3	=	40.116290	12.000
R2_60_1	5.0606	TP	R2_60_1	=	142.502642	48.000
R2_60_2	2.4925	TP	R2_60_2	=	123.541154	61.000
R2_63_1	0.9442	TP	R2_63_1	=	12.648323	6.000
R2_65_1	966.7969	TP	R2_65_1	=	32117.606827	7589.000
R2_67_1	3.7766	TP	R2_67_1	=	244.812229	24.000
R2_68_2	1.8883	TP	R2_68_2	=	9.466535	6.000
R2_6_1	362.5488	TP	R2_6_1	=	34348.251678	3651.000
R2_6_2	120.8496	TP	R2_6_2	=	10954.077483	948.000
R2_71_1	3.5406	TP	R2_71_1	=	25.402409	8.000
R2_72_1	127.6172	TP	R2_72_1	=	5252.711665	2620.000
R2_72_2	259.1016	TP	R2_72_2	=	4718.886721	2613.000
R2_72_3	514.336	TP	R2_72_3	=	5528.018105	3200.000
R2_72_4	1032.5391	TP	R2_72_4	=	6230.620176	2667.000
R2_73_2	1.6523	TP	R2_73_2	=	0.869959	1.000
R2_76_1	0.0201	TP	R2_76_1	=	4.232126	1.000
R2_76_2	0.0195	TP	R2_76_2	=	7.140357	2.000
R2_7_1	241.6992	TP	R2_7_1	=	12932.762449	1788.000
R2_7_2	725.0977	TP	R2_7_2	=	6803.581170	3611.000
R1_11_2	0	FP	transcript760.chrIS.nnic	j	87420.561846	628.000
	
R1_92_1	0	FP	transcript88.chrIS.nic	j	1931.125609	138.000
	
